test model relativeRisk haplotypeLength recFrac Holdout_mTDT2G_useDistances_01 Holdout_mTDT2G_useDistances_05 Holdout_mTDT2G_useDistances_001 Holdout_mTDT2G_useDistances_005 Holdout_ScoreTDT_01 Holdout_ScoreTDT_05 Holdout_ScoreTDT_001 Holdout_ScoreTDT_005 Holdout_mTDT_01 Holdout_mTDT_05 Holdout_mTDT_001 Holdout_mTDT_005 
PowerTwoLoci DomAndDom 1.2 4 0.0001000 0.06 0.14 0.03 0.04 0.03 0.12 0 0.02 0.04 0.14 0.02 0.03
PowerTwoLoci DomAndDom 1.2 4 0.0001500 0.03 0.09 0 0.03 0.02 0.12 0 0 0.02 0.14 0 0.02
PowerTwoLoci DomAndDom 1.2 4 0.0002000 0.08 0.16 0.03 0.06 0.07 0.13 0.02 0.06 0.08 0.17 0.02 0.07
PowerTwoLoci DomAndDom 1.6 4 0.0000000 0.41 0.55 0.32 0.36 0.39 0.47 0.29 0.36 0.43 0.52 0.33 0.37
PowerTwoLoci DomAndDom 1.6 4 0.0000500 0.16 0.32 0.11 0.15 0.16 0.21 0.11 0.14 0.2 0.27 0.12 0.12
PowerTwoLoci DomAndDom 1.6 4 0.0001000 0.08 0.13 0.03 0.04 0.05 0.09 0.04 0.05 0.05 0.08 0.04 0.05
PowerTwoLoci DomAndDom 1.6 4 0.0001500 0.02 0.1 0 0.02 0.06 0.15 0 0.01 0.05 0.12 0 0.02
PowerTwoLoci DomAndDom 1.6 4 0.0002000 0.07 0.14 0.03 0.05 0.07 0.13 0.02 0.04 0.07 0.16 0.03 0.05
PowerTwoLoci DomAndDom 2.0 4 0.0000000 0.49 0.6 0.39 0.46 0.45 0.58 0.33 0.38 0.47 0.62 0.37 0.47
PowerTwoLoci DomAndDom 2.0 4 0.0000500 0.2 0.36 0.13 0.17 0.2 0.33 0.12 0.16 0.25 0.37 0.16 0.21
PowerTwoLoci DomAndDom 2.0 4 0.0001000 0.06 0.12 0.02 0.03 0.07 0.15 0.04 0.06 0.08 0.16 0.03 0.06
PowerTwoLoci DomAndDom 2.0 4 0.0001500 0.05 0.1 0.02 0.03 0.07 0.13 0.02 0.03 0.05 0.12 0.02 0.05
PowerTwoLoci DomAndDom 2.0 4 0.0002000 0.09 0.16 0.05 0.08 0.09 0.15 0.05 0.09 0.08 0.16 0.08 0.08
PowerTwoLoci DomAndDom 2.4 4 0.0000000 0.5 0.61 0.39 0.46 0.47 0.57 0.35 0.44 0.5 0.63 0.4 0.47
PowerTwoLoci DomAndDom 2.4 4 0.0000500 0.27 0.41 0.14 0.22 0.23 0.35 0.14 0.18 0.24 0.42 0.19 0.2
PowerTwoLoci DomAndDom 2.4 4 0.0001000 0.1 0.18 0.01 0.08 0.09 0.14 0.04 0.07 0.11 0.14 0.03 0.07
PowerTwoLoci DomAndDom 2.4 4 0.0001500 0.04 0.14 0 0.01 0.04 0.14 0 0.03 0.05 0.14 0 0.03
PowerTwoLoci DomAndDom 2.4 4 0.0002000 0.09 0.18 0.05 0.07 0.05 0.12 0.03 0.04 0.05 0.13 0.04 0.05
PowerTwoLoci DomAndDom 2.6 4 0.0000000 0.52 0.64 0.46 0.51 0.51 0.56 0.42 0.46 0.52 0.62 0.46 0.51
PowerTwoLoci DomAndDom 2.6 4 0.0000500 0.26 0.36 0.17 0.21 0.21 0.34 0.15 0.19 0.24 0.42 0.19 0.22
PowerTwoLoci DomAndDom 2.6 4 0.0001000 0.09 0.14 0.02 0.05 0.08 0.2 0.04 0.07 0.1 0.2 0.04 0.08
PowerTwoLoci DomAndDom 2.6 4 0.0001500 0.05 0.14 0.01 0.04 0.09 0.13 0.02 0.06 0.11 0.17 0.02 0.06
PowerTwoLoci DomAndDom 2.6 4 0.0002000 0.07 0.13 0.04 0.05 0.06 0.15 0.05 0.06 0.07 0.14 0.05 0.06
PowerTwoLoci RecOrRec 1.2 4 0.0000000 0.36 0.47 0.24 0.34 0.27 0.45 0.19 0.24 0.37 0.46 0.24 0.31
PowerTwoLoci RecOrRec 1.2 4 0.0000500 0.08 0.22 0.03 0.05 0.07 0.15 0.03 0.07 0.07 0.2 0.05 0.06
PowerTwoLoci RecOrRec 1.2 4 0.0001000 0.04 0.11 0 0.01 0.02 0.12 0.01 0.02 0.04 0.14 0 0.02
PowerTwoLoci RecOrRec 1.2 4 0.0001500 0.05 0.07 0.01 0.03 0.02 0.09 0 0 0.01 0.09 0 0
PowerTwoLoci RecOrRec 1.2 4 0.0002000 0.05 0.16 0.03 0.05 0.06 0.13 0.02 0.06 0.08 0.15 0.01 0.06
PowerTwoLoci RecOrRec 1.6 4 0.0000000 0.4 0.46 0.29 0.37 0.35 0.47 0.22 0.3 0.39 0.49 0.29 0.33
PowerTwoLoci RecOrRec 1.6 4 0.0000500 0.12 0.23 0.04 0.1 0.11 0.21 0.04 0.07 0.13 0.22 0.08 0.11
PowerTwoLoci RecOrRec 1.6 4 0.0001000 0.08 0.13 0.03 0.06 0.05 0.11 0.01 0.03 0.04 0.11 0.03 0.03
PowerTwoLoci RecOrRec 1.6 4 0.0001500 0.01 0.06 0 0.01 0.04 0.09 0 0 0.03 0.09 0 0.01
PowerTwoLoci RecOrRec 1.6 4 0.0002000 0.07 0.13 0.04 0.06 0.06 0.15 0.02 0.05 0.07 0.14 0.02 0.05
PowerTwoLoci RecOrRec 2.0 4 0.0000000 0.45 0.55 0.36 0.41 0.37 0.5 0.27 0.34 0.44 0.54 0.33 0.41
PowerTwoLoci RecOrRec 2.0 4 0.0000500 0.16 0.24 0.11 0.13 0.16 0.27 0.09 0.15 0.2 0.29 0.15 0.17
PowerTwoLoci RecOrRec 2.0 4 0.0001000 0.02 0.1 0.01 0.02 0.03 0.12 0.02 0.02 0.03 0.13 0.02 0.03
PowerTwoLoci RecOrRec 2.0 4 0.0001500 0.04 0.13 0 0.03 0.05 0.09 0 0.02 0.03 0.14 0 0.01
PowerTwoLoci RecOrRec 2.0 4 0.0002000 0.05 0.14 0.05 0.05 0.07 0.16 0.03 0.05 0.09 0.16 0.04 0.06
PowerTwoLoci RecOrRec 2.4 4 0.0000000 0.44 0.52 0.33 0.41 0.45 0.47 0.27 0.39 0.46 0.51 0.33 0.43
PowerTwoLoci RecOrRec 2.4 4 0.0000500 0.24 0.34 0.15 0.19 0.18 0.26 0.11 0.15 0.21 0.28 0.15 0.19
PowerTwoLoci RecOrRec 2.4 4 0.0001000 0.05 0.11 0.02 0.04 0.08 0.11 0.03 0.06 0.08 0.11 0.04 0.07
PowerTwoLoci RecOrRec 2.4 4 0.0001500 0.06 0.09 0.02 0.04 0.06 0.13 0.01 0.04 0.05 0.12 0.02 0.04
PowerTwoLoci RecOrRec 2.4 4 0.0002000 0.09 0.12 0.04 0.09 0.07 0.12 0.04 0.05 0.07 0.14 0.04 0.06
PowerTwoLoci RecOrRec 2.6 4 0.0000000 0.5 0.58 0.32 0.43 0.4 0.5 0.28 0.39 0.45 0.56 0.37 0.41
PowerTwoLoci RecOrRec 2.6 4 0.0000500 0.22 0.29 0.14 0.2 0.19 0.29 0.12 0.17 0.23 0.29 0.15 0.2
PowerTwoLoci RecOrRec 2.6 4 0.0001000 0.06 0.13 0.03 0.04 0.08 0.13 0.03 0.04 0.07 0.16 0.04 0.06
PowerTwoLoci RecOrRec 2.6 4 0.0001500 0.07 0.12 0.02 0.05 0.05 0.13 0.01 0.02 0.07 0.13 0.02 0.02
PowerTwoLoci RecOrRec 2.6 4 0.0002000 0.07 0.18 0.04 0.06 0.07 0.2 0.03 0.06 0.08 0.2 0.03 0.07
PowerTwoLoci Threshold 1.2 4 0.0000000 0.36 0.47 0.24 0.34 0.27 0.45 0.19 0.24 0.37 0.46 0.24 0.31
PowerTwoLoci Threshold 1.2 4 0.0000500 0.08 0.22 0.03 0.05 0.07 0.15 0.03 0.07 0.07 0.2 0.05 0.06
PowerTwoLoci Threshold 1.2 4 0.0001000 0.04 0.11 0 0.01 0.02 0.12 0.01 0.02 0.04 0.14 0 0.02
PowerTwoLoci Threshold 1.2 4 0.0001500 0.05 0.07 0.01 0.03 0.02 0.09 0 0 0.01 0.09 0 0
PowerTwoLoci Threshold 1.2 4 0.0002000 0.05 0.16 0.03 0.05 0.06 0.13 0.02 0.06 0.08 0.15 0.01 0.06
PowerTwoLoci Threshold 1.6 4 0.0000000 0.4 0.46 0.29 0.37 0.35 0.47 0.22 0.3 0.39 0.49 0.29 0.33
PowerTwoLoci Threshold 1.6 4 0.0000500 0.12 0.23 0.04 0.1 0.11 0.21 0.04 0.07 0.13 0.22 0.08 0.11
PowerTwoLoci Threshold 1.6 4 0.0001000 0.08 0.13 0.03 0.06 0.05 0.11 0.01 0.03 0.04 0.11 0.03 0.03
PowerTwoLoci Threshold 1.6 4 0.0001500 0.01 0.06 0 0.01 0.04 0.09 0 0 0.03 0.09 0 0.01
PowerTwoLoci Threshold 1.6 4 0.0002000 0.07 0.13 0.04 0.06 0.06 0.15 0.02 0.05 0.07 0.14 0.02 0.05
PowerTwoLoci Threshold 2.0 4 0.0000000 0.45 0.55 0.36 0.41 0.37 0.5 0.27 0.34 0.44 0.54 0.33 0.41
PowerTwoLoci Threshold 2.0 4 0.0000500 0.16 0.24 0.11 0.13 0.16 0.27 0.09 0.15 0.2 0.29 0.15 0.17
PowerTwoLoci Threshold 2.0 4 0.0001000 0.02 0.1 0.01 0.02 0.03 0.12 0.02 0.02 0.03 0.13 0.02 0.03
PowerTwoLoci Threshold 2.0 4 0.0001500 0.04 0.13 0 0.03 0.05 0.09 0 0.02 0.03 0.14 0 0.01
PowerTwoLoci Threshold 2.0 4 0.0002000 0.05 0.14 0.05 0.05 0.07 0.16 0.03 0.05 0.09 0.16 0.04 0.06
PowerTwoLoci Threshold 2.4 4 0.0000000 0.44 0.52 0.33 0.41 0.45 0.47 0.27 0.39 0.46 0.51 0.33 0.43
PowerTwoLoci Threshold 2.4 4 0.0000500 0.24 0.34 0.15 0.19 0.18 0.26 0.11 0.15 0.21 0.28 0.15 0.19
PowerTwoLoci Threshold 2.4 4 0.0001000 0.05 0.11 0.02 0.04 0.08 0.11 0.03 0.06 0.08 0.11 0.04 0.07
PowerTwoLoci Threshold 2.4 4 0.0001500 0.06 0.09 0.02 0.04 0.06 0.13 0.01 0.04 0.05 0.12 0.02 0.04
PowerTwoLoci Threshold 2.4 4 0.0002000 0.09 0.12 0.04 0.09 0.07 0.12 0.04 0.05 0.07 0.14 0.04 0.06
PowerTwoLoci Threshold 2.6 4 0.0000000 0.5 0.58 0.32 0.43 0.4 0.5 0.28 0.39 0.45 0.56 0.37 0.41
PowerTwoLoci Threshold 2.6 4 0.0000500 0.22 0.29 0.14 0.2 0.19 0.29 0.12 0.17 0.23 0.29 0.15 0.2
PowerTwoLoci Threshold 2.6 4 0.0001000 0.06 0.13 0.03 0.04 0.08 0.13 0.03 0.04 0.07 0.16 0.04 0.06
PowerTwoLoci Threshold 2.6 4 0.0001500 0.07 0.12 0.02 0.05 0.05 0.13 0.01 0.02 0.07 0.13 0.02 0.02
PowerTwoLoci Threshold 2.6 4 0.0002000 0.07 0.18 0.04 0.06 0.07 0.2 0.03 0.06 0.08 0.2 0.03 0.07
PowerTwoLoci Modified 1.2 4 0.0000000 0.36 0.47 0.24 0.34 0.27 0.45 0.19 0.24 0.37 0.46 0.24 0.31
PowerTwoLoci Modified 1.2 4 0.0000500 0.08 0.22 0.03 0.05 0.07 0.15 0.03 0.07 0.07 0.2 0.05 0.06
PowerTwoLoci Modified 1.2 4 0.0001000 0.04 0.11 0 0.01 0.02 0.12 0.01 0.02 0.04 0.14 0 0.02
PowerTwoLoci Modified 1.2 4 0.0001500 0.05 0.07 0.01 0.03 0.02 0.09 0 0 0.01 0.09 0 0
PowerTwoLoci Modified 1.2 4 0.0002000 0.05 0.16 0.03 0.05 0.06 0.13 0.02 0.06 0.08 0.15 0.01 0.06
PowerTwoLoci Modified 1.6 4 0.0000000 0.4 0.46 0.29 0.37 0.35 0.47 0.22 0.3 0.39 0.49 0.29 0.33
PowerTwoLoci Modified 1.6 4 0.0000500 0.12 0.23 0.04 0.1 0.11 0.21 0.04 0.07 0.13 0.22 0.08 0.11
PowerTwoLoci Modified 1.6 4 0.0001000 0.08 0.13 0.03 0.06 0.05 0.11 0.01 0.03 0.04 0.11 0.03 0.03
PowerTwoLoci Modified 1.6 4 0.0001500 0.01 0.06 0 0.01 0.04 0.09 0 0 0.03 0.09 0 0.01
PowerTwoLoci Modified 1.6 4 0.0002000 0.07 0.13 0.04 0.06 0.06 0.15 0.02 0.05 0.07 0.14 0.02 0.05
PowerTwoLoci Modified 2.0 4 0.0000000 0.45 0.55 0.36 0.41 0.37 0.5 0.27 0.34 0.44 0.54 0.33 0.41
PowerTwoLoci Modified 2.0 4 0.0000500 0.16 0.24 0.11 0.13 0.16 0.27 0.09 0.15 0.2 0.29 0.15 0.17
PowerTwoLoci Modified 2.0 4 0.0001000 0.02 0.1 0.01 0.02 0.03 0.12 0.02 0.02 0.03 0.13 0.02 0.03
PowerTwoLoci Modified 2.0 4 0.0001500 0.04 0.13 0 0.03 0.05 0.09 0 0.02 0.03 0.14 0 0.01
PowerTwoLoci Modified 2.0 4 0.0002000 0.05 0.14 0.05 0.05 0.07 0.16 0.03 0.05 0.09 0.16 0.04 0.06
PowerTwoLoci Modified 2.4 4 0.0000000 0.44 0.52 0.33 0.41 0.45 0.47 0.27 0.39 0.46 0.51 0.33 0.43
PowerTwoLoci Modified 2.4 4 0.0000500 0.24 0.34 0.15 0.19 0.18 0.26 0.11 0.15 0.21 0.28 0.15 0.19
PowerTwoLoci Modified 2.4 4 0.0001000 0.05 0.11 0.02 0.04 0.08 0.11 0.03 0.06 0.08 0.11 0.04 0.07
PowerTwoLoci Modified 2.4 4 0.0001500 0.06 0.09 0.02 0.04 0.06 0.13 0.01 0.04 0.05 0.12 0.02 0.04
PowerTwoLoci Modified 2.4 4 0.0002000 0.09 0.12 0.04 0.09 0.07 0.12 0.04 0.05 0.07 0.14 0.04 0.06
PowerTwoLoci Modified 2.6 4 0.0000000 0.5 0.58 0.32 0.43 0.4 0.5 0.28 0.39 0.45 0.56 0.37 0.41
PowerTwoLoci Modified 2.6 4 0.0000500 0.22 0.29 0.14 0.2 0.19 0.29 0.12 0.17 0.23 0.29 0.15 0.2
PowerTwoLoci Modified 2.6 4 0.0001000 0.06 0.13 0.03 0.04 0.08 0.13 0.03 0.04 0.07 0.16 0.04 0.06
PowerTwoLoci Modified 2.6 4 0.0001500 0.07 0.12 0.02 0.05 0.05 0.13 0.01 0.02 0.07 0.13 0.02 0.02
PowerTwoLoci Modified 2.6 4 0.0002000 0.07 0.18 0.04 0.06 0.07 0.2 0.03 0.06 0.08 0.2 0.03 0.07
PowerTwoLoci Additive 1.2 6 0.0000000 0.45 0.53 0.36 0.43 0.39 0.46 0.28 0.36 0.44 0.5 0.32 0.4
PowerTwoLoci Additive 1.2 6 0.0000500 0.14 0.25 0.07 0.12 0.1 0.19 0.06 0.08 0.11 0.21 0.07 0.1
PowerTwoLoci Additive 1.2 6 0.0001000 0.05 0.1 0.01 0.04 0.04 0.1 0.03 0.04 0.05 0.1 0.02 0.04
PowerTwoLoci Additive 1.2 6 0.0001500 0.04 0.15 0.02 0.02 0.03 0.11 0 0.01 0.05 0.1 0 0.03
PowerTwoLoci Additive 1.2 6 0.0002000 0.05 0.12 0.03 0.04 0.07 0.14 0.03 0.06 0.08 0.13 0.04 0.06
PowerTwoLoci Additive 1.6 6 0.0000000 0.47 0.55 0.41 0.45 0.42 0.48 0.34 0.4 0.47 0.5 0.38 0.45
PowerTwoLoci Additive 1.6 6 0.0000500 0.18 0.28 0.1 0.16 0.16 0.24 0.08 0.15 0.18 0.27 0.12 0.13
PowerTwoLoci Additive 1.6 6 0.0001000 0.07 0.11 0.01 0.04 0.07 0.14 0.03 0.06 0.07 0.17 0.04 0.05
PowerTwoLoci Additive 1.6 6 0.0001500 0.07 0.19 0.01 0.04 0.02 0.1 0 0.01 0.02 0.15 0 0.01
PowerTwoLoci Additive 1.6 6 0.0002000 0.07 0.14 0.03 0.03 0.06 0.13 0.03 0.04 0.06 0.15 0.03 0.04
PowerTwoLoci Additive 2.0 6 0.0000000 0.52 0.63 0.41 0.49 0.46 0.58 0.35 0.43 0.51 0.62 0.44 0.5
PowerTwoLoci Additive 2.0 6 0.0000500 0.19 0.33 0.1 0.15 0.17 0.26 0.05 0.15 0.24 0.3 0.1 0.18
PowerTwoLoci Additive 2.0 6 0.0001000 0.05 0.14 0.02 0.03 0.08 0.18 0.01 0.05 0.07 0.2 0.02 0.05
PowerTwoLoci Additive 2.0 6 0.0001500 0.04 0.12 0.01 0.04 0.02 0.11 0.01 0.01 0.05 0.11 0.01 0.02
PowerTwoLoci Additive 2.0 6 0.0002000 0.05 0.11 0.02 0.04 0.08 0.16 0.05 0.07 0.09 0.14 0.05 0.06
PowerTwoLoci Additive 2.4 6 0.0000000 0.56 0.61 0.47 0.55 0.5 0.59 0.42 0.46 0.56 0.63 0.43 0.53
PowerTwoLoci Additive 2.4 6 0.0000500 0.21 0.37 0.15 0.19 0.22 0.32 0.11 0.17 0.26 0.34 0.14 0.23
PowerTwoLoci Additive 2.4 6 0.0001000 0.08 0.21 0.03 0.05 0.1 0.18 0.06 0.09 0.11 0.17 0.06 0.09
PowerTwoLoci Additive 2.4 6 0.0001500 0.06 0.1 0.02 0.05 0.03 0.12 0 0.02 0.07 0.14 0 0.02
PowerTwoLoci Additive 2.4 6 0.0002000 0.08 0.18 0.04 0.04 0.08 0.17 0.05 0.07 0.09 0.17 0.04 0.08
PowerTwoLoci Additive 2.6 6 0.0000000 0.58 0.65 0.46 0.54 0.53 0.59 0.42 0.46 0.56 0.65 0.46 0.53
PowerTwoLoci Additive 2.6 6 0.0000500 0.26 0.39 0.16 0.2 0.22 0.36 0.12 0.18 0.28 0.41 0.16 0.21
PowerTwoLoci Additive 2.6 6 0.0001000 0.08 0.17 0.04 0.07 0.08 0.2 0.04 0.07 0.09 0.2 0.04 0.08
PowerTwoLoci Additive 2.6 6 0.0001500 0.08 0.16 0.01 0.06 0.09 0.17 0 0.05 0.08 0.16 0 0.06
PowerTwoLoci Additive 2.6 6 0.0002000 0.07 0.12 0.04 0.05 0.09 0.17 0.04 0.06 0.09 0.18 0.04 0.07
PowerTwoLoci DomOrDom 1.2 6 0.0000000 0.43 0.54 0.29 0.39 0.36 0.44 0.22 0.34 0.39 0.49 0.28 0.37
PowerTwoLoci DomOrDom 1.2 6 0.0000500 0.09 0.22 0.04 0.09 0.07 0.11 0.03 0.04 0.07 0.14 0.03 0.04
PowerTwoLoci DomOrDom 1.2 6 0.0001000 0.05 0.14 0.01 0.02 0.05 0.09 0.02 0.03 0.05 0.11 0.02 0.03
PowerTwoLoci DomOrDom 1.2 6 0.0001500 0.03 0.11 0 0.03 0.02 0.08 0 0.01 0.02 0.1 0 0.02
PowerTwoLoci DomOrDom 1.2 6 0.0002000 0.05 0.15 0.01 0.03 0.05 0.17 0.01 0.03 0.08 0.18 0.01 0.03
PowerTwoLoci DomOrDom 1.6 6 0.0000000 0.46 0.57 0.34 0.42 0.4 0.55 0.32 0.38 0.47 0.59 0.37 0.41
PowerTwoLoci DomOrDom 1.6 6 0.0000500 0.18 0.31 0.11 0.15 0.14 0.25 0.1 0.13 0.15 0.26 0.12 0.13
PowerTwoLoci DomOrDom 1.6 6 0.0001000 0.05 0.12 0.04 0.04 0.09 0.15 0.02 0.08 0.09 0.13 0.04 0.08
PowerTwoLoci DomOrDom 1.6 6 0.0001500 0.05 0.12 0.01 0.04 0.01 0.14 0 0 0.04 0.14 0 0
PowerTwoLoci DomOrDom 1.6 6 0.0002000 0.04 0.1 0.02 0.03 0.06 0.11 0.02 0.05 0.05 0.12 0.03 0.05
PowerTwoLoci DomOrDom 2.0 6 0.0000000 0.54 0.62 0.46 0.51 0.48 0.59 0.38 0.47 0.54 0.65 0.42 0.5
PowerTwoLoci DomOrDom 2.0 6 0.0000500 0.2 0.34 0.12 0.16 0.25 0.36 0.13 0.17 0.28 0.37 0.14 0.23
PowerTwoLoci DomOrDom 2.0 6 0.0001000 0.08 0.15 0.06 0.06 0.11 0.2 0.03 0.08 0.14 0.19 0.04 0.08
PowerTwoLoci DomOrDom 2.0 6 0.0001500 0.04 0.12 0.01 0.03 0.04 0.13 0.01 0.04 0.04 0.12 0.01 0.03
PowerTwoLoci DomOrDom 2.0 6 0.0002000 0.08 0.15 0.03 0.05 0.1 0.17 0.03 0.08 0.11 0.15 0.05 0.08
PowerTwoLoci DomOrDom 2.4 6 0.0000000 0.6 0.65 0.47 0.57 0.51 0.58 0.42 0.51 0.55 0.64 0.47 0.52
PowerTwoLoci DomOrDom 2.4 6 0.0000500 0.24 0.37 0.13 0.21 0.23 0.33 0.15 0.2 0.26 0.33 0.19 0.25
PowerTwoLoci DomOrDom 2.4 6 0.0001000 0.11 0.19 0.06 0.11 0.13 0.18 0.07 0.1 0.13 0.18 0.07 0.1
PowerTwoLoci DomOrDom 2.4 6 0.0001500 0.07 0.22 0.01 0.06 0.03 0.15 0 0.01 0.04 0.2 0 0.01
PowerTwoLoci DomOrDom 2.4 6 0.0002000 0.06 0.16 0.03 0.05 0.07 0.15 0.03 0.05 0.06 0.18 0.02 0.05
PowerTwoLoci DomOrDom 2.6 6 0.0000000 0.59 0.65 0.52 0.59 0.54 0.63 0.48 0.53 0.59 0.65 0.53 0.56
PowerTwoLoci DomOrDom 2.6 6 0.0000500 0.31 0.41 0.16 0.24 0.21 0.35 0.16 0.17 0.26 0.39 0.17 0.23
PowerTwoLoci DomOrDom 2.6 6 0.0001000 0.1 0.17 0.05 0.07 0.14 0.18 0.06 0.11 0.14 0.19 0.08 0.11
PowerTwoLoci DomOrDom 2.6 6 0.0001500 0.06 0.13 0.01 0.04 0.07 0.14 0.03 0.07 0.07 0.17 0.02 0.05
PowerTwoLoci DomOrDom 2.6 6 0.0002000 0.07 0.11 0.05 0.06 0.1 0.14 0.06 0.07 0.1 0.12 0.06 0.08
PowerTwoLoci DomAndDom 1.2 6 0.0000000 0.43 0.54 0.29 0.39 0.36 0.44 0.22 0.34 0.39 0.49 0.28 0.37
PowerTwoLoci DomAndDom 1.2 6 0.0000500 0.1 0.23 0.04 0.09 0.07 0.11 0.03 0.04 0.07 0.13 0.03 0.04
PowerTwoLoci DomAndDom 1.2 6 0.0001000 0.06 0.13 0.02 0.03 0.06 0.09 0.01 0.03 0.05 0.11 0.02 0.03
PowerTwoLoci DomAndDom 1.2 6 0.0001500 0.03 0.11 0 0.03 0.02 0.08 0 0.01 0.02 0.1 0 0.02
PowerTwoLoci DomAndDom 1.2 6 0.0002000 0.05 0.14 0.01 0.03 0.05 0.17 0.01 0.03 0.08 0.18 0.01 0.03
PowerTwoLoci DomAndDom 1.6 6 0.0000000 0.46 0.57 0.34 0.42 0.4 0.55 0.32 0.38 0.47 0.59 0.37 0.41
PowerTwoLoci DomAndDom 1.6 6 0.0000500 0.17 0.29 0.11 0.14 0.14 0.25 0.09 0.13 0.15 0.25 0.12 0.13
PowerTwoLoci DomAndDom 1.6 6 0.0001000 0.06 0.11 0.04 0.04 0.08 0.15 0.03 0.08 0.09 0.12 0.05 0.08
PowerTwoLoci DomAndDom 1.6 6 0.0001500 0.03 0.12 0 0.03 0.01 0.14 0 0 0.03 0.13 0 0
PowerTwoLoci DomAndDom 1.6 6 0.0002000 0.05 0.11 0.02 0.04 0.06 0.12 0.02 0.05 0.05 0.11 0.03 0.05
PowerTwoLoci DomAndDom 2.0 6 0.0000000 0.54 0.62 0.46 0.51 0.48 0.59 0.38 0.47 0.54 0.65 0.42 0.5
PowerTwoLoci DomAndDom 2.0 6 0.0000500 0.2 0.33 0.12 0.16 0.25 0.37 0.13 0.17 0.28 0.37 0.14 0.23
PowerTwoLoci DomAndDom 2.0 6 0.0001000 0.08 0.15 0.05 0.05 0.13 0.18 0.03 0.09 0.13 0.19 0.04 0.08
PowerTwoLoci DomAndDom 2.0 6 0.0001500 0.06 0.12 0.02 0.03 0.04 0.13 0.01 0.03 0.04 0.12 0.01 0.03
PowerTwoLoci DomAndDom 2.0 6 0.0002000 0.08 0.15 0.04 0.04 0.1 0.17 0.03 0.08 0.11 0.15 0.05 0.08
PowerTwoLoci DomAndDom 2.4 6 0.0000000 0.6 0.65 0.47 0.57 0.51 0.58 0.42 0.51 0.55 0.64 0.47 0.52
PowerTwoLoci DomAndDom 2.4 6 0.0000500 0.24 0.37 0.13 0.21 0.23 0.33 0.15 0.2 0.26 0.33 0.19 0.25
PowerTwoLoci DomAndDom 2.4 6 0.0001000 0.11 0.18 0.04 0.09 0.13 0.17 0.05 0.1 0.13 0.17 0.06 0.1
PowerTwoLoci DomAndDom 2.4 6 0.0001500 0.07 0.21 0.01 0.04 0.03 0.16 0 0.01 0.03 0.18 0 0.01
PowerTwoLoci DomAndDom 2.4 6 0.0002000 0.05 0.15 0.02 0.04 0.07 0.16 0.03 0.04 0.06 0.17 0.02 0.05
PowerTwoLoci DomAndDom 2.6 6 0.0000000 0.59 0.65 0.52 0.59 0.54 0.63 0.48 0.53 0.59 0.65 0.53 0.56
PowerTwoLoci DomAndDom 2.6 6 0.0000500 0.31 0.41 0.16 0.24 0.21 0.35 0.16 0.17 0.26 0.39 0.17 0.23
PowerTwoLoci DomAndDom 2.6 6 0.0001000 0.08 0.18 0.04 0.06 0.13 0.17 0.07 0.11 0.13 0.18 0.09 0.11
PowerTwoLoci DomAndDom 2.6 6 0.0001500 0.07 0.13 0.02 0.06 0.08 0.16 0.02 0.07 0.09 0.18 0.02 0.06
PowerTwoLoci DomAndDom 2.6 6 0.0002000 0.07 0.13 0.05 0.06 0.08 0.14 0.06 0.08 0.1 0.12 0.06 0.09
PowerTwoLoci RecOrRec 1.2 6 0.0000000 0.41 0.5 0.32 0.39 0.31 0.48 0.21 0.29 0.37 0.53 0.25 0.34
PowerTwoLoci RecOrRec 1.2 6 0.0000500 0.07 0.18 0.04 0.06 0.08 0.12 0.04 0.06 0.09 0.14 0.05 0.08
PowerTwoLoci RecOrRec 1.2 6 0.0001000 0.03 0.12 0 0.01 0.03 0.08 0.02 0.03 0.03 0.11 0.01 0.02
PowerTwoLoci RecOrRec 1.2 6 0.0001500 0.04 0.1 0 0.03 0.02 0.08 0 0.01 0.02 0.08 0.01 0.02
PowerTwoLoci RecOrRec 1.2 6 0.0002000 0.04 0.12 0.02 0.03 0.06 0.11 0.01 0.02 0.06 0.14 0.01 0.03
PowerTwoLoci RecOrRec 1.6 6 0.0000000 0.41 0.51 0.3 0.38 0.38 0.47 0.25 0.36 0.4 0.51 0.32 0.38
PowerTwoLoci RecOrRec 1.6 6 0.0000500 0.13 0.2 0.05 0.1 0.08 0.21 0.03 0.06 0.09 0.22 0.06 0.07
PowerTwoLoci RecOrRec 1.6 6 0.0001000 0.04 0.09 0.02 0.02 0.06 0.08 0.02 0.06 0.06 0.08 0.04 0.06
PowerTwoLoci RecOrRec 1.6 6 0.0001500 0.03 0.13 0 0.03 0.02 0.11 0 0.02 0.06 0.12 0 0.03
PowerTwoLoci RecOrRec 1.6 6 0.0002000 0.05 0.1 0.03 0.03 0.07 0.17 0.03 0.05 0.07 0.16 0.02 0.06
PowerTwoLoci RecOrRec 2.0 6 0.0000000 0.48 0.58 0.39 0.45 0.4 0.49 0.29 0.39 0.45 0.54 0.35 0.42
PowerTwoLoci RecOrRec 2.0 6 0.0000500 0.13 0.25 0.09 0.12 0.16 0.25 0.08 0.14 0.19 0.25 0.12 0.18
PowerTwoLoci RecOrRec 2.0 6 0.0001000 0.03 0.08 0.01 0.02 0.04 0.12 0.02 0.03 0.06 0.1 0.03 0.04
