test model relativeRisk haplotypeLength recFrac Holdout_mTDT2G_useDistances_01 Holdout_mTDT2G_useDistances_05 Holdout_mTDT2G_useDistances_001 Holdout_mTDT2G_useDistances_005 Holdout_ScoreTDT_01 Holdout_ScoreTDT_05 Holdout_ScoreTDT_001 Holdout_ScoreTDT_005 Holdout_mTDT_01 Holdout_mTDT_05 Holdout_mTDT_001 Holdout_mTDT_005 
PowerTwoLoci DomAndDom 1.6 1 0.0000000 0.23 0.32 0.13 0.19 0.23 0.32 0.13 0.19 0.23 0.32 0.13 0.19
PowerTwoLoci DomAndDom 1.6 1 0.0000500 0.07 0.19 0.05 0.07 0.07 0.19 0.05 0.07 0.07 0.19 0.05 0.07
PowerTwoLoci DomAndDom 1.6 1 0.0001000 0.01 0.08 0 0 0.01 0.08 0 0 0.01 0.08 0 0
PowerTwoLoci DomAndDom 1.6 1 0.0001500 0.03 0.1 0.01 0.03 0.03 0.1 0.01 0.03 0.03 0.1 0.01 0.03
PowerTwoLoci DomAndDom 1.6 1 0.0002000 0.09 0.15 0.02 0.08 0.09 0.16 0.02 0.08 0.09 0.16 0.02 0.08
PowerTwoLoci DomAndDom 2.0 1 0.0000000 0.26 0.32 0.14 0.22 0.26 0.32 0.14 0.22 0.26 0.32 0.14 0.22
PowerTwoLoci DomAndDom 2.0 1 0.0000500 0.12 0.21 0.07 0.11 0.12 0.21 0.07 0.11 0.12 0.21 0.07 0.11
PowerTwoLoci DomAndDom 2.0 1 0.0001000 0.01 0.05 0 0.01 0.01 0.05 0 0.01 0.01 0.05 0 0.01
PowerTwoLoci DomAndDom 2.0 1 0.0001500 0.02 0.12 0 0.02 0.02 0.12 0 0.02 0.02 0.12 0 0.02
PowerTwoLoci DomAndDom 2.0 1 0.0002000 0.09 0.18 0.05 0.06 0.09 0.18 0.05 0.06 0.09 0.18 0.05 0.06
PowerTwoLoci DomAndDom 2.4 1 0.0000000 0.26 0.33 0.2 0.25 0.26 0.33 0.2 0.25 0.26 0.33 0.2 0.25
PowerTwoLoci DomAndDom 2.4 1 0.0000500 0.13 0.26 0.08 0.1 0.13 0.26 0.08 0.1 0.13 0.26 0.08 0.1
PowerTwoLoci DomAndDom 2.4 1 0.0001000 0.01 0.07 0 0.01 0.01 0.07 0 0.01 0.01 0.07 0 0.01
PowerTwoLoci DomAndDom 2.4 1 0.0001500 0.03 0.11 0.01 0.03 0.03 0.11 0.01 0.03 0.03 0.11 0.01 0.03
PowerTwoLoci DomAndDom 2.4 1 0.0002000 0.08 0.13 0.03 0.04 0.08 0.13 0.03 0.04 0.08 0.13 0.03 0.04
PowerTwoLoci DomAndDom 2.6 1 0.0000000 0.27 0.3 0.24 0.26 0.27 0.3 0.24 0.26 0.27 0.3 0.24 0.26
PowerTwoLoci DomAndDom 2.6 1 0.0000500 0.17 0.25 0.08 0.13 0.17 0.26 0.08 0.13 0.17 0.26 0.08 0.13
PowerTwoLoci DomAndDom 2.6 1 0.0001000 0.02 0.06 0 0.01 0.02 0.06 0 0.01 0.02 0.06 0 0.01
PowerTwoLoci DomAndDom 2.6 1 0.0001500 0.05 0.17 0.02 0.03 0.05 0.18 0.02 0.03 0.05 0.18 0.02 0.03
PowerTwoLoci DomAndDom 2.6 1 0.0002000 0.06 0.15 0.04 0.06 0.06 0.15 0.04 0.06 0.06 0.15 0.04 0.06
PowerTwoLoci RecOrRec 1.2 1 0.0000000 0.18 0.27 0.13 0.17 0.18 0.27 0.13 0.17 0.18 0.27 0.13 0.17
PowerTwoLoci RecOrRec 1.2 1 0.0000500 0.05 0.14 0.02 0.03 0.05 0.15 0.02 0.03 0.05 0.15 0.02 0.03
PowerTwoLoci RecOrRec 1.2 1 0.0001000 0.02 0.06 0 0.02 0.02 0.06 0 0.02 0.02 0.06 0 0.02
PowerTwoLoci RecOrRec 1.2 1 0.0001500 0.02 0.09 0.01 0.01 0.02 0.09 0.01 0.01 0.02 0.09 0.01 0.01
PowerTwoLoci RecOrRec 1.2 1 0.0002000 0.08 0.16 0.03 0.07 0.08 0.16 0.03 0.07 0.08 0.16 0.03 0.07
PowerTwoLoci RecOrRec 1.6 1 0.0000000 0.18 0.3 0.13 0.17 0.18 0.3 0.13 0.17 0.18 0.3 0.13 0.17
PowerTwoLoci RecOrRec 1.6 1 0.0000500 0.09 0.15 0.05 0.09 0.09 0.15 0.05 0.09 0.09 0.15 0.05 0.09
PowerTwoLoci RecOrRec 1.6 1 0.0001000 0.01 0.05 0 0 0.01 0.05 0 0 0.01 0.05 0 0
PowerTwoLoci RecOrRec 1.6 1 0.0001500 0.02 0.06 0.01 0.02 0.02 0.06 0.01 0.02 0.02 0.06 0.01 0.02
PowerTwoLoci RecOrRec 1.6 1 0.0002000 0.05 0.14 0.05 0.05 0.05 0.14 0.05 0.05 0.05 0.14 0.05 0.05
PowerTwoLoci RecOrRec 2.0 1 0.0000000 0.23 0.32 0.18 0.22 0.23 0.32 0.18 0.22 0.23 0.32 0.18 0.22
PowerTwoLoci RecOrRec 2.0 1 0.0000500 0.09 0.14 0.07 0.08 0.09 0.14 0.07 0.08 0.09 0.14 0.07 0.08
PowerTwoLoci RecOrRec 2.0 1 0.0001000 0.01 0.04 0 0.01 0.01 0.04 0 0.01 0.01 0.04 0 0.01
PowerTwoLoci RecOrRec 2.0 1 0.0001500 0.03 0.09 0.01 0.02 0.03 0.09 0.01 0.02 0.03 0.09 0.01 0.02
PowerTwoLoci RecOrRec 2.0 1 0.0002000 0.09 0.15 0.04 0.06 0.09 0.15 0.04 0.06 0.09 0.15 0.04 0.06
PowerTwoLoci RecOrRec 2.4 1 0.0000000 0.25 0.32 0.17 0.22 0.25 0.32 0.17 0.22 0.25 0.32 0.17 0.22
PowerTwoLoci RecOrRec 2.4 1 0.0000500 0.12 0.21 0.06 0.1 0.13 0.22 0.06 0.1 0.13 0.22 0.06 0.1
PowerTwoLoci RecOrRec 2.4 1 0.0001000 0.01 0.08 0 0 0.01 0.08 0 0 0.01 0.08 0 0
PowerTwoLoci RecOrRec 2.4 1 0.0001500 0.03 0.11 0.01 0.01 0.03 0.11 0.01 0.01 0.03 0.11 0.01 0.01
PowerTwoLoci RecOrRec 2.4 1 0.0002000 0.07 0.09 0.03 0.06 0.07 0.09 0.03 0.06 0.07 0.09 0.03 0.06
PowerTwoLoci RecOrRec 2.6 1 0.0000000 0.26 0.34 0.17 0.22 0.26 0.34 0.17 0.22 0.26 0.34 0.17 0.22
PowerTwoLoci RecOrRec 2.6 1 0.0000500 0.12 0.18 0.05 0.09 0.12 0.18 0.05 0.09 0.12 0.18 0.05 0.09
PowerTwoLoci RecOrRec 2.6 1 0.0001000 0.02 0.07 0 0.01 0.02 0.07 0 0.01 0.02 0.07 0 0.01
PowerTwoLoci RecOrRec 2.6 1 0.0001500 0.03 0.1 0.01 0.01 0.03 0.1 0.01 0.01 0.03 0.1 0.01 0.01
PowerTwoLoci RecOrRec 2.6 1 0.0002000 0.07 0.16 0.03 0.07 0.07 0.16 0.03 0.07 0.07 0.16 0.03 0.07
PowerTwoLoci Threshold 1.2 1 0.0000000 0.18 0.27 0.13 0.17 0.18 0.27 0.13 0.17 0.18 0.27 0.13 0.17
PowerTwoLoci Threshold 1.2 1 0.0000500 0.05 0.14 0.02 0.03 0.05 0.15 0.02 0.03 0.05 0.15 0.02 0.03
PowerTwoLoci Threshold 1.2 1 0.0001000 0.02 0.06 0 0.02 0.02 0.06 0 0.02 0.02 0.06 0 0.02
PowerTwoLoci Threshold 1.2 1 0.0001500 0.02 0.09 0.01 0.01 0.02 0.09 0.01 0.01 0.02 0.09 0.01 0.01
PowerTwoLoci Threshold 1.2 1 0.0002000 0.08 0.16 0.03 0.07 0.08 0.16 0.03 0.07 0.08 0.16 0.03 0.07
PowerTwoLoci Threshold 1.6 1 0.0000000 0.18 0.3 0.13 0.17 0.18 0.3 0.13 0.17 0.18 0.3 0.13 0.17
PowerTwoLoci Threshold 1.6 1 0.0000500 0.09 0.15 0.05 0.09 0.09 0.15 0.05 0.09 0.09 0.15 0.05 0.09
PowerTwoLoci Threshold 1.6 1 0.0001000 0.01 0.05 0 0 0.01 0.05 0 0 0.01 0.05 0 0
PowerTwoLoci Threshold 1.6 1 0.0001500 0.02 0.06 0.01 0.02 0.02 0.06 0.01 0.02 0.02 0.06 0.01 0.02
PowerTwoLoci Threshold 1.6 1 0.0002000 0.05 0.14 0.05 0.05 0.05 0.14 0.05 0.05 0.05 0.14 0.05 0.05
PowerTwoLoci Threshold 2.0 1 0.0000000 0.23 0.32 0.18 0.22 0.23 0.32 0.18 0.22 0.23 0.32 0.18 0.22
PowerTwoLoci Threshold 2.0 1 0.0000500 0.09 0.14 0.07 0.08 0.09 0.14 0.07 0.08 0.09 0.14 0.07 0.08
PowerTwoLoci Threshold 2.0 1 0.0001000 0.01 0.04 0 0.01 0.01 0.04 0 0.01 0.01 0.04 0 0.01
PowerTwoLoci Threshold 2.0 1 0.0001500 0.03 0.09 0.01 0.02 0.03 0.09 0.01 0.02 0.03 0.09 0.01 0.02
PowerTwoLoci Threshold 2.0 1 0.0002000 0.09 0.15 0.04 0.06 0.09 0.15 0.04 0.06 0.09 0.15 0.04 0.06
PowerTwoLoci Threshold 2.4 1 0.0000000 0.25 0.32 0.17 0.22 0.25 0.32 0.17 0.22 0.25 0.32 0.17 0.22
