test model relativeRisk haplotypeLength recFrac Holdout_mTDT_01 Holdout_mTDT_05 Holdout_mTDT_001 Holdout_mTDT_005 Holdout_mTDT_minFreq10.00000_01 Holdout_mTDT_minFreq10.00000_05 Holdout_mTDT_minFreq10.00000_001 Holdout_mTDT_minFreq10.00000_005 Holdout_ScoreTDT_01 Holdout_ScoreTDT_05 Holdout_ScoreTDT_001 Holdout_ScoreTDT_005 Holdout_ScoreTDT_minFreq10.00000_01 Holdout_ScoreTDT_minFreq10.00000_05 Holdout_ScoreTDT_minFreq10.00000_001 Holdout_ScoreTDT_minFreq10.00000_005 Holdout_mTDT1T_01 Holdout_mTDT1T_05 Holdout_mTDT1T_001 Holdout_mTDT1T_005 Holdout_mTDT1T_minFreq10.00000_01 Holdout_mTDT1T_minFreq10.00000_05 Holdout_mTDT1T_minFreq10.00000_001 Holdout_mTDT1T_minFreq10.00000_005 Holdout_mTDT2G_01 Holdout_mTDT2G_05 Holdout_mTDT2G_001 Holdout_mTDT2G_005 Holdout_mTDT2G_minFreq10.00000_01 Holdout_mTDT2G_minFreq10.00000_05 Holdout_mTDT2G_minFreq10.00000_001 Holdout_mTDT2G_minFreq10.00000_005 Holdout_mTDT1_01 Holdout_mTDT1_05 Holdout_mTDT1_001 Holdout_mTDT1_005 Holdout_mTDT1_minFreq10.00000_01 Holdout_mTDT1_minFreq10.00000_05 Holdout_mTDT1_minFreq10.00000_001 Holdout_mTDT1_minFreq10.00000_005 
PowerTwoLoci RecOrRec 10 4 0.0001500 0.2 0.31 0.1 0.18 0.2 0.3 0.11 0.18 0.2 0.25 0.11 0.17 0.19 0.29 0.13 0.17 0.13 0.29 0.09 0.11 0.13 0.28 0.09 0.11 0.19 0.32 0.14 0.16 0.19 0.31 0.15 0.17 0.14 0.28 0.1 0.12 0.14 0.28 0.1 0.12
PowerTwoLoci RecOrRec 10 4 0.0002000 0.11 0.21 0.01 0.06 0.11 0.19 0.03 0.08 0.07 0.2 0.01 0.04 0.08 0.17 0.03 0.05 0.05 0.15 0.02 0.04 0.05 0.14 0.02 0.04 0.02 0.13 0.01 0.02 0.03 0.13 0.01 0.02 0.03 0.12 0 0.01 0.03 0.12 0 0.01
PowerTwoLoci RecOrRec 10 4 0.0002500 0.08 0.17 0 0.04 0.05 0.16 0 0.04 0.05 0.16 0 0.02 0.05 0.17 0 0.02 0.04 0.11 0.01 0.02 0.04 0.12 0.01 0.02 0.05 0.11 0.01 0.02 0.05 0.12 0.01 0.03 0.05 0.13 0.02 0.03 0.05 0.16 0.02 0.03
PowerTwoLoci RecOrRec 10 4 0.0003000 0.05 0.13 0.01 0.01 0.07 0.13 0.01 0.03 0.03 0.11 0.01 0.02 0.05 0.11 0.01 0.03 0.05 0.12 0.01 0.03 0.05 0.12 0.01 0.03 0.04 0.12 0 0.03 0.04 0.1 0 0.02 0.05 0.14 0.01 0.04 0.05 0.17 0.01 0.04
PowerTwoLoci RecOrRec 10 4 0.0003500 0.05 0.13 0.03 0.05 0.06 0.12 0.05 0.05 0.06 0.12 0.03 0.05 0.06 0.13 0.03 0.06 0.05 0.11 0.03 0.04 0.05 0.11 0.03 0.04 0.04 0.13 0.03 0.04 0.03 0.12 0.02 0.03 0.04 0.11 0.03 0.04 0.04 0.12 0.03 0.04
PowerTwoLoci RecOrRec 10 4 0.0004000 0.04 0.13 0.01 0.03 0.05 0.13 0.01 0.03 0.03 0.13 0.01 0.03 0.05 0.14 0.02 0.03 0.04 0.11 0.01 0.03 0.04 0.11 0.01 0.03 0.03 0.07 0 0.03 0.03 0.07 0 0.03 0.03 0.08 0.01 0.02 0.03 0.08 0.01 0.02
PowerTwoLoci RecOrRec 10 4 0.0004500 0.06 0.1 0.03 0.05 0.06 0.11 0.03 0.06 0.04 0.1 0.01 0.04 0.04 0.1 0.02 0.04 0.03 0.08 0.01 0.02 0.02 0.07 0.01 0.02 0.04 0.13 0 0.01 0.04 0.13 0 0.01 0.04 0.08 0 0.03 0.04 0.07 0 0.03
PowerTwoLoci RecOrRec 10 4 0.0005000 0.01 0.1 0 0 0.01 0.09 0 0 0.02 0.08 0 0 0.01 0.09 0 0 0.02 0.09 0 0.01 0.02 0.09 0 0.01 0.04 0.13 0 0.02 0.03 0.14 0 0.02 0.04 0.12 0.01 0.02 0.03 0.11 0.01 0.02
PowerTwoLoci RecOrRec 10 4 0.0008000 0.02 0.05 0.01 0.01 0.02 0.07 0 0 0.01 0.05 0 0.01 0.01 0.06 0 0 0.01 0.08 0 0.01 0.01 0.09 0 0.01 0.01 0.04 0 0 0.01 0.04 0 0 0.01 0.1 0 0 0.02 0.11 0 0.01
PowerTwoLoci RecOrRec 10 4 0.0016000 0.02 0.05 0 0 0.02 0.05 0 0 0 0.04 0 0 0 0.06 0 0 0.01 0.06 0 0 0.01 0.06 0 0 0.01 0.06 0 0 0.01 0.05 0 0 0 0.02 0 0 0 0.02 0 0
PowerTwoLoci RecOrRec 10 4 0.0032000 0.03 0.07 0 0 0.04 0.07 0 0.01 0.01 0.07 0 0.01 0.02 0.07 0 0.01 0.01 0.03 0 0.01 0.01 0.05 0 0.01 0.01 0.06 0 0 0.01 0.07 0 0 0.01 0.06 0 0.01 0.01 0.07 0 0.01
PowerTwoLoci Threshold 2 4 0.0000000 0.29 0.39 0.2 0.26 0.3 0.4 0.2 0.27 0.25 0.34 0.18 0.22 0.26 0.36 0.18 0.23 0.3 0.4 0.2 0.28 0.29 0.4 0.2 0.28 0.3 0.44 0.2 0.25 0.29 0.42 0.2 0.25 0.28 0.37 0.19 0.26 0.28 0.39 0.19 0.26
PowerTwoLoci Threshold 2 4 0.0000500 0.08 0.18 0.04 0.06 0.08 0.19 0.04 0.07 0.06 0.15 0.03 0.04 0.08 0.16 0.04 0.04 0.09 0.15 0.03 0.07 0.09 0.15 0.03 0.07 0.08 0.15 0.01 0.05 0.07 0.14 0.01 0.05 0.08 0.17 0.03 0.06 0.08 0.17 0.03 0.06
PowerTwoLoci Threshold 2 4 0.0001000 0.06 0.11 0.03 0.05 0.06 0.11 0.03 0.05 0.06 0.08 0.02 0.05 0.06 0.1 0.04 0.05 0.04 0.07 0.02 0.03 0.04 0.07 0.02 0.03 0.04 0.06 0.02 0.03 0.03 0.04 0.02 0.03 0.04 0.07 0.02 0.03 0.04 0.09 0.02 0.03
PowerTwoLoci Threshold 2 4 0.0001500 0.02 0.13 0.01 0.02 0.02 0.13 0.01 0.02 0.01 0.11 0.01 0.01 0.01 0.12 0.01 0.01 0.03 0.11 0.01 0.01 0.03 0.11 0.01 0.01 0.03 0.15 0.01 0.02 0.02 0.14 0.01 0.02 0.01 0.08 0 0 0.01 0.09 0 0
PowerTwoLoci Threshold 2 4 0.0002000 0.01 0.08 0 0 0.01 0.08 0 0 0 0.06 0 0 0 0.07 0 0 0 0.05 0 0 0 0.06 0 0 0 0.01 0 0 0 0.01 0 0 0 0.04 0 0 0 0.04 0 0
PowerTwoLoci Threshold 2 4 0.0002500 0.01 0.06 0.01 0.01 0.01 0.07 0.01 0.01 0.01 0.06 0 0.01 0.01 0.06 0 0.01 0.02 0.05 0 0.01 0.02 0.05 0 0.01 0.01 0.04 0 0.01 0 0.02 0 0 0.01 0.05 0 0.01 0.01 0.05 0 0.01
PowerTwoLoci Threshold 2 4 0.0003000 0.01 0.05 0.01 0.01 0.01 0.05 0.01 0.01 0.01 0.06 0.01 0.01 0.01 0.05 0.01 0.01 0.01 0.07 0 0.01 0.01 0.07 0 0.01 0.01 0.03 0 0 0.01 0.03 0 0 0.01 0.1 0 0.01 0.01 0.1 0 0.01
PowerTwoLoci Threshold 2 4 0.0003500 0.01 0.04 0 0 0.01 0.05 0 0 0 0.03 0 0 0 0.05 0 0 0 0.05 0 0 0 0.06 0 0 0 0.04 0 0 0 0.03 0 0 0 0.05 0 0 0 0.06 0 0
PowerTwoLoci Threshold 2 4 0.0004000 0.01 0.07 0 0.01 0.01 0.07 0.01 0.01 0.02 0.06 0 0.01 0.02 0.07 0 0.01 0.02 0.06 0 0.01 0.02 0.06 0 0.01 0 0.02 0 0 0.01 0.03 0 0 0.01 0.05 0 0.01 0.01 0.05 0 0.01
PowerTwoLoci Threshold 2 4 0.0004500 0.03 0.1 0 0.01 0.04 0.11 0 0.02 0.01 0.09 0 0 0.02 0.11 0 0.01 0.04 0.07 0 0.02 0.04 0.07 0 0.02 0.04 0.13 0 0.01 0.05 0.1 0 0.01 0.01 0.04 0 0 0.01 0.04 0 0
PowerTwoLoci Threshold 2 4 0.0005000 0 0.01 0 0 0 0.02 0 0 0 0.02 0 0 0 0.03 0 0 0 0.01 0 0 0 0.01 0 0 0 0.05 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0
PowerTwoLoci Threshold 2 4 0.0008000 0.01 0.04 0 0.01 0.01 0.05 0 0.01 0 0.02 0 0 0 0.02 0 0 0 0.01 0 0 0 0.01 0 0 0 0.05 0 0 0 0.05 0 0 0 0.04 0 0 0 0.04 0 0
PowerTwoLoci Threshold 2 4 0.0016000 0 0.04 0 0 0 0.04 0 0 0 0.02 0 0 0 0.01 0 0 0.01 0.04 0 0.01 0 0.02 0 0 0.01 0.03 0 0 0.01 0.03 0 0 0 0.04 0 0 0 0.03 0 0
PowerTwoLoci Threshold 2 4 0.0032000 0.03 0.06 0 0.01 0.03 0.06 0 0.01 0.01 0.05 0 0.01 0.01 0.05 0 0.01 0.02 0.04 0.01 0.02 0.02 0.05 0.01 0.02 0 0.04 0 0 0 0.04 0 0 0.01 0.05 0 0.01 0.01 0.05 0 0.01
PowerTwoLoci Threshold 4 4 0.0000000 0.48 0.58 0.43 0.45 0.5 0.61 0.42 0.46 0.46 0.52 0.38 0.45 0.48 0.57 0.39 0.45 0.49 0.63 0.4 0.47 0.5 0.63 0.4 0.47 0.49 0.65 0.44 0.47 0.48 0.64 0.43 0.45 0.45 0.63 0.39 0.42 0.47 0.64 0.39 0.42
PowerTwoLoci Threshold 4 4 0.0000500 0.2 0.29 0.12 0.16 0.22 0.29 0.13 0.17 0.18 0.26 0.11 0.14 0.18 0.31 0.12 0.15 0.2 0.28 0.1 0.18 0.2 0.28 0.1 0.18 0.16 0.26 0.11 0.13 0.16 0.28 0.11 0.13 0.19 0.27 0.1 0.17 0.2 0.28 0.1 0.17
PowerTwoLoci Threshold 4 4 0.0001000 0.12 0.19 0.06 0.12 0.15 0.18 0.06 0.11 0.13 0.19 0.04 0.09 0.12 0.18 0.04 0.07 0.13 0.17 0.06 0.1 0.14 0.18 0.06 0.1 0.13 0.18 0.07 0.11 0.14 0.17 0.07 0.12 0.11 0.19 0.06 0.09 0.1 0.19 0.06 0.09
PowerTwoLoci Threshold 4 4 0.0001500 0.08 0.15 0.03 0.06 0.08 0.16 0.03 0.06 0.07 0.14 0.03 0.03 0.07 0.15 0.03 0.03 0.06 0.15 0.03 0.04 0.06 0.15 0.03 0.04 0.05 0.11 0.03 0.03 0.05 0.12 0.03 0.03 0.06 0.1 0.01 0.02 0.06 0.12 0.01 0.02
PowerTwoLoci Threshold 4 4 0.0002000 0 0.11 0 0 0.01 0.11 0 0 0 0.07 0 0 0.01 0.07 0 0 0.02 0.03 0 0.01 0.02 0.03 0 0.01 0.03 0.05 0 0.01 0.03 0.04 0 0.01 0.01 0.03 0 0.01 0.01 0.03 0 0.01
PowerTwoLoci Threshold 4 4 0.0002500 0.02 0.03 0 0 0.02 0.06 0 0.01 0.01 0.03 0 0.01 0.01 0.06 0 0.01 0.01 0.09 0 0 0.01 0.09 0 0 0.01 0.08 0 0.01 0.01 0.08 0 0.01 0.01 0.06 0 0 0.01 0.08 0 0
PowerTwoLoci Threshold 4 4 0.0003000 0.02 0.08 0.01 0.01 0.01 0.09 0.01 0.01 0.01 0.08 0 0.01 0.01 0.11 0 0.01 0.02 0.07 0 0 0.02 0.07 0 0 0.02 0.06 0 0 0.02 0.05 0 0 0.01 0.11 0 0 0.01 0.12 0 0
PowerTwoLoci Threshold 4 4 0.0003500 0.01 0.06 0 0 0 0.08 0 0 0 0.06 0 0 0 0.08 0 0 0.02 0.09 0 0 0.02 0.1 0 0 0.01 0.09 0 0 0.01 0.1 0 0 0.02 0.07 0 0 0.02 0.08 0 0
PowerTwoLoci Threshold 4 4 0.0004000 0.01 0.03 0 0 0.01 0.04 0 0.01 0.01 0.03 0 0 0.02 0.03 0 0 0.01 0.05 0 0.01 0.01 0.05 0 0.01 0 0.07 0 0 0 0.08 0 0 0 0.06 0 0 0 0.06 0 0
PowerTwoLoci Threshold 4 4 0.0004500 0 0.05 0 0 0 0.07 0 0 0 0.04 0 0 0 0.07 0 0 0.02 0.06 0 0 0.03 0.07 0 0 0.01 0.04 0 0 0 0.03 0 0 0 0.03 0 0 0 0.03 0 0
PowerTwoLoci Threshold 4 4 0.0005000 0 0.03 0 0 0 0.04 0 0 0 0.05 0 0 0 0.06 0 0 0.01 0.04 0 0.01 0.01 0.05 0 0.01 0.01 0.05 0 0 0.01 0.06 0 0 0.02 0.05 0 0.01 0.03 0.07 0 0.01
PowerTwoLoci Threshold 4 4 0.0008000 0 0.03 0 0 0 0.05 0 0 0.01 0.03 0 0 0.01 0.02 0 0 0.01 0.06 0 0.01 0.01 0.06 0 0.01 0 0.04 0 0 0 0.03 0 0 0.01 0.06 0 0.01 0.01 0.07 0 0.01
PowerTwoLoci Threshold 4 4 0.0016000 0.02 0.08 0 0.01 0.02 0.09 0 0.01 0 0.06 0 0 0 0.07 0 0 0.01 0.04 0 0.01 0.01 0.05 0 0.01 0.01 0.07 0 0.01 0.02 0.06 0 0.01 0.01 0.03 0 0 0.02 0.05 0 0.01
PowerTwoLoci Threshold 4 4 0.0032000 0.02 0.04 0.01 0.01 0.02 0.06 0.01 0.01 0.02 0.02 0.01 0.02 0.02 0.04 0.01 0.02 0.01 0.05 0.01 0.01 0.01 0.05 0.01 0.01 0 0.05 0 0 0.01 0.07 0 0.01 0 0.07 0 0 0 0.07 0 0
PowerTwoLoci Threshold 6 4 0.0000000 0.73 0.81 0.6 0.69 0.74 0.85 0.61 0.71 0.68 0.8 0.55 0.61 0.71 0.83 0.56 0.68 0.68 0.79 0.58 0.66 0.69 0.79 0.59 0.66 0.69 0.79 0.62 0.66 0.7 0.8 0.62 0.66 0.66 0.76 0.59 0.65 0.66 0.75 0.59 0.64
PowerTwoLoci Threshold 6 4 0.0000500 0.31 0.47 0.21 0.29 0.32 0.47 0.23 0.29 0.26 0.43 0.19 0.22 0.3 0.47 0.2 0.24 0.31 0.43 0.2 0.26 0.31 0.42 0.2 0.26 0.31 0.41 0.18 0.26 0.31 0.43 0.18 0.27 0.31 0.45 0.2 0.27 0.31 0.45 0.2 0.27
PowerTwoLoci Threshold 6 4 0.0001000 0.2 0.31 0.13 0.17 0.2 0.3 0.13 0.18 0.17 0.26 0.07 0.14 0.17 0.28 0.1 0.16 0.2 0.28 0.13 0.16 0.21 0.29 0.13 0.17 0.19 0.29 0.12 0.16 0.17 0.3 0.11 0.14 0.19 0.29 0.12 0.17 0.21 0.29 0.13 0.17
PowerTwoLoci Threshold 6 4 0.0001500 0.11 0.21 0.05 0.07 0.1 0.23 0.05 0.07 0.07 0.2 0.04 0.07 0.09 0.23 0.04 0.06 0.08 0.19 0.05 0.08 0.08 0.2 0.05 0.08 0.1 0.18 0.04 0.1 0.09 0.19 0.04 0.09 0.07 0.15 0.03 0.07 0.07 0.16 0.03 0.07
PowerTwoLoci Threshold 6 4 0.0002000 0.03 0.13 0 0.03 0.03 0.13 0 0.03 0.01 0.14 0 0 0.01 0.14 0 0 0.04 0.1 0.01 0.03 0.04 0.1 0.01 0.03 0.06 0.1 0.01 0.04 0.05 0.09 0.01 0.04 0.04 0.07 0.01 0.02 0.05 0.08 0.01 0.02
PowerTwoLoci Threshold 6 4 0.0002500 0.03 0.09 0 0.02 0.05 0.09 0 0.02 0.03 0.08 0 0 0.03 0.11 0 0 0 0.05 0 0 0.01 0.06 0 0 0.04 0.08 0.01 0.03 0.05 0.07 0.01 0.03 0.01 0.07 0 0.01 0.02 0.08 0 0.01
PowerTwoLoci Threshold 6 4 0.0003000 0.02 0.07 0 0.01 0.02 0.12 0 0.01 0.01 0.1 0.01 0.01 0.01 0.13 0.01 0.01 0.05 0.11 0.01 0.05 0.05 0.11 0.01 0.05 0.03 0.06 0 0.02 0.03 0.07 0 0.02 0.03 0.08 0.01 0.03 0.03 0.08 0.01 0.03
PowerTwoLoci Threshold 6 4 0.0003500 0.03 0.07 0.01 0.02 0.03 0.06 0.01 0.02 0.02 0.05 0.01 0.02 0.02 0.06 0.01 0.02 0.03 0.09 0.02 0.02 0.03 0.08 0.02 0.02 0 0.07 0 0 0.01 0.08 0 0 0.03 0.07 0.01 0.02 0.03 0.07 0.01 0.02
PowerTwoLoci Threshold 6 4 0.0004000 0.02 0.07 0.01 0.02 0.02 0.08 0.01 0.01 0.02 0.08 0.01 0.02 0.03 0.1 0.01 0.01 0.01 0.1 0.01 0.01 0.01 0.1 0.01 0.01 0.01 0.08 0 0 0 0.07 0 0 0.01 0.06 0.01 0.01 0.01 0.07 0.01 0.01
PowerTwoLoci Threshold 6 4 0.0004500 0.04 0.05 0.01 0.03 0.04 0.05 0.01 0.03 0.02 0.06 0 0.02 0.02 0.06 0 0.02 0.02 0.07 0 0.02 0.02 0.07 0 0.02 0.02 0.05 0 0.02 0.04 0.06 0.01 0.03 0.02 0.06 0.01 0.02 0.02 0.06 0.01 0.02
PowerTwoLoci Threshold 6 4 0.0005000 0 0.04 0 0 0.01 0.06 0 0.01 0 0.04 0 0 0.01 0.06 0 0 0.03 0.07 0 0.01 0.02 0.07 0 0.01 0 0.05 0 0 0 0.05 0 0 0.02 0.06 0 0.01 0.02 0.07 0 0.02
PowerTwoLoci Threshold 6 4 0.0008000 0.01 0.06 0 0 0 0.05 0 0 0.01 0.02 0 0 0 0.02 0 0 0 0.06 0 0 0 0.06 0 0 0.01 0.05 0 0.01 0.01 0.05 0 0 0 0.01 0 0 0 0.01 0 0
PowerTwoLoci Threshold 6 4 0.0016000 0 0.02 0 0 0 0.02 0 0 0 0.03 0 0 0 0.03 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0
PowerTwoLoci Threshold 6 4 0.0032000 0.02 0.07 0 0.01 0.02 0.09 0 0.01 0.01 0.06 0 0 0.02 0.08 0 0 0.01 0.08 0 0 0.01 0.1 0 0 0.01 0.09 0 0 0.02 0.08 0 0.01 0.01 0.08 0 0 0.01 0.09 0 0
PowerTwoLoci Threshold 8 4 0.0000000 0.85 0.9 0.79 0.84 0.85 0.92 0.79 0.85 0.85 0.89 0.67 0.77 0.86 0.9 0.7 0.8 0.79 0.87 0.75 0.76 0.8 0.88 0.76 0.78 0.83 0.9 0.79 0.82 0.83 0.9 0.78 0.82 0.83 0.87 0.78 0.8 0.83 0.87 0.78 0.81
PowerTwoLoci Threshold 8 4 0.0000500 0.41 0.49 0.31 0.37 0.41 0.5 0.3 0.38 0.38 0.46 0.27 0.35 0.4 0.49 0.31 0.37 0.35 0.47 0.23 0.31 0.36 0.45 0.23 0.3 0.38 0.51 0.27 0.34 0.37 0.52 0.26 0.32 0.32 0.48 0.22 0.29 0.32 0.47 0.22 0.29
PowerTwoLoci Threshold 8 4 0.0001000 0.26 0.41 0.19 0.23 0.29 0.41 0.19 0.25 0.24 0.39 0.12 0.2 0.26 0.4 0.15 0.24 0.23 0.36 0.16 0.21 0.23 0.37 0.16 0.2 0.27 0.42 0.15 0.24 0.26 0.41 0.15 0.25 0.26 0.35 0.18 0.24 0.26 0.36 0.19 0.24
PowerTwoLoci Threshold 8 4 0.0001500 0.15 0.27 0.09 0.13 0.16 0.26 0.1 0.14 0.13 0.22 0.05 0.11 0.16 0.23 0.08 0.13 0.13 0.27 0.08 0.1 0.12 0.26 0.08 0.1 0.14 0.24 0.09 0.12 0.15 0.23 0.09 0.11 0.12 0.25 0.07 0.1 0.13 0.26 0.08 0.11
PowerTwoLoci Threshold 8 4 0.0002000 0.07 0.13 0.01 0.06 0.08 0.12 0.01 0.06 0.08 0.16 0.01 0.04 0.08 0.13 0.01 0.06 0.02 0.11 0.01 0.02 0.02 0.1 0.01 0.02 0.06 0.14 0.01 0.03 0.05 0.12 0.01 0.03 0.02 0.11 0 0.01 0.03 0.11 0.01 0.02
PowerTwoLoci Threshold 8 4 0.0002500 0.04 0.1 0.01 0.03 0.04 0.1 0.01 0.03 0.01 0.11 0 0.01 0.02 0.11 0.01 0.01 0.02 0.08 0 0.02 0.02 0.09 0 0.02 0.04 0.1 0 0.02 0.04 0.1 0 0.03 0.01 0.09 0 0.01 0.01 0.1 0 0.01
PowerTwoLoci Threshold 8 4 0.0003000 0.06 0.13 0 0.04 0.06 0.12 0 0.04 0.03 0.13 0.01 0.03 0.04 0.14 0.01 0.03 0.06 0.11 0.01 0.06 0.06 0.12 0.01 0.06 0.02 0.11 0 0.02 0.02 0.13 0 0.01 0.04 0.14 0.01 0.04 0.04 0.14 0.01 0.03
PowerTwoLoci Threshold 8 4 0.0003500 0.05 0.09 0.01 0.04 0.06 0.1 0.02 0.06 0.05 0.08 0.01 0.03 0.07 0.1 0.01 0.04 0.09 0.13 0.02 0.05 0.09 0.13 0.02 0.05 0.06 0.13 0.02 0.05 0.06 0.12 0.03 0.05 0.06 0.1 0.01 0.03 0.06 0.1 0.01 0.03
PowerTwoLoci Threshold 8 4 0.0004000 0.03 0.12 0.01 0.03 0.03 0.1 0.01 0.03 0.05 0.09 0.01 0.03 0.03 0.08 0.01 0.03 0.03 0.08 0.01 0.02 0.03 0.09 0.01 0.02 0 0.04 0 0 0.01 0.05 0 0 0.02 0.08 0.01 0.01 0.02 0.09 0.01 0.01
PowerTwoLoci Threshold 8 4 0.0004500 0.02 0.08 0.01 0.02 0.02 0.07 0.01 0.02 0.01 0.07 0.01 0.01 0.01 0.06 0.01 0.01 0.01 0.11 0.01 0.01 0.01 0.11 0.01 0.01 0.01 0.08 0 0 0.01 0.08 0 0 0 0.04 0 0 0 0.05 0 0
PowerTwoLoci Threshold 8 4 0.0005000 0.02 0.07 0.01 0.02 0.02 0.07 0.01 0.02 0.02 0.06 0 0.02 0.02 0.06 0 0.02 0.03 0.07 0.02 0.02 0.03 0.07 0.02 0.02 0.03 0.12 0.01 0.02 0.03 0.11 0.01 0.02 0.03 0.07 0.02 0.02 0.03 0.07 0.02 0.02
PowerTwoLoci Threshold 8 4 0.0008000 0.03 0.05 0 0.02 0.02 0.06 0 0.01 0.02 0.03 0 0.02 0.01 0.03 0 0.01 0 0.03 0 0 0 0.03 0 0 0.01 0.04 0.01 0.01 0.01 0.06 0.01 0.01 0 0.06 0 0 0 0.07 0 0
PowerTwoLoci Threshold 8 4 0.0016000 0.03 0.07 0 0.03 0.03 0.07 0 0.03 0.02 0.05 0 0 0.02 0.05 0 0 0 0.03 0 0 0 0.03 0 0 0.01 0.05 0 0 0.01 0.05 0 0 0 0.03 0 0 0 0.04 0 0
PowerTwoLoci Threshold 8 4 0.0032000 0.01 0.06 0 0.01 0.01 0.07 0 0.01 0.01 0.05 0 0.01 0.01 0.06 0 0.01 0 0.06 0 0 0 0.06 0 0 0.01 0.07 0 0.01 0.01 0.07 0 0.01 0 0.05 0 0 0 0.06 0 0
PowerTwoLoci Threshold 10 4 0.0000000 0.92 0.96 0.88 0.91 0.92 0.96 0.88 0.92 0.9 0.95 0.84 0.88 0.9 0.95 0.86 0.88 0.88 0.94 0.81 0.86 0.88 0.94 0.8 0.86 0.94 0.96 0.85 0.92 0.94 0.95 0.86 0.9 0.9 0.95 0.83 0.87 0.9 0.95 0.83 0.87
PowerTwoLoci Threshold 10 4 0.0000500 0.49 0.64 0.32 0.42 0.53 0.63 0.31 0.46 0.44 0.61 0.29 0.42 0.47 0.63 0.31 0.44 0.42 0.53 0.28 0.34 0.42 0.54 0.27 0.34 0.39 0.58 0.3 0.37 0.39 0.56 0.3 0.37 0.44 0.55 0.27 0.36 0.44 0.56 0.26 0.37
PowerTwoLoci Threshold 10 4 0.0001000 0.32 0.48 0.19 0.26 0.34 0.49 0.19 0.29 0.3 0.43 0.15 0.24 0.31 0.46 0.17 0.27 0.29 0.42 0.18 0.24 0.3 0.42 0.18 0.24 0.3 0.43 0.18 0.26 0.3 0.43 0.18 0.26 0.28 0.39 0.2 0.23 0.29 0.42 0.2 0.23
PowerTwoLoci Threshold 10 4 0.0001500 0.2 0.31 0.1 0.18 0.2 0.3 0.11 0.18 0.2 0.25 0.11 0.17 0.19 0.29 0.13 0.17 0.13 0.29 0.09 0.11 0.13 0.28 0.09 0.11 0.19 0.32 0.14 0.16 0.19 0.31 0.15 0.17 0.14 0.28 0.1 0.12 0.14 0.28 0.1 0.12
PowerTwoLoci Threshold 10 4 0.0002000 0.11 0.21 0.01 0.06 0.11 0.19 0.03 0.08 0.07 0.2 0.01 0.04 0.08 0.17 0.03 0.05 0.05 0.15 0.02 0.04 0.05 0.14 0.02 0.04 0.02 0.13 0.01 0.02 0.03 0.13 0.01 0.02 0.03 0.12 0 0.01 0.03 0.12 0 0.01
PowerTwoLoci Threshold 10 4 0.0002500 0.08 0.17 0 0.04 0.05 0.16 0 0.04 0.05 0.16 0 0.02 0.05 0.17 0 0.02 0.04 0.11 0.01 0.02 0.04 0.12 0.01 0.02 0.05 0.11 0.01 0.02 0.05 0.12 0.01 0.03 0.05 0.13 0.02 0.03 0.05 0.16 0.02 0.03
PowerTwoLoci Threshold 10 4 0.0003000 0.05 0.13 0.01 0.01 0.07 0.13 0.01 0.03 0.03 0.11 0.01 0.02 0.05 0.11 0.01 0.03 0.05 0.12 0.01 0.03 0.05 0.12 0.01 0.03 0.04 0.12 0 0.03 0.04 0.1 0 0.02 0.05 0.14 0.01 0.04 0.05 0.17 0.01 0.04
PowerTwoLoci Threshold 10 4 0.0003500 0.05 0.13 0.03 0.05 0.06 0.12 0.05 0.05 0.06 0.12 0.03 0.05 0.06 0.13 0.03 0.06 0.05 0.11 0.03 0.04 0.05 0.11 0.03 0.04 0.04 0.13 0.03 0.04 0.03 0.12 0.02 0.03 0.04 0.11 0.03 0.04 0.04 0.12 0.03 0.04
PowerTwoLoci Threshold 10 4 0.0004000 0.04 0.13 0.01 0.03 0.05 0.13 0.01 0.03 0.03 0.13 0.01 0.03 0.05 0.14 0.02 0.03 0.04 0.11 0.01 0.03 0.04 0.11 0.01 0.03 0.03 0.07 0 0.03 0.03 0.07 0 0.03 0.03 0.08 0.01 0.02 0.03 0.08 0.01 0.02
PowerTwoLoci Threshold 10 4 0.0004500 0.06 0.1 0.03 0.05 0.06 0.11 0.03 0.06 0.04 0.1 0.01 0.04 0.04 0.1 0.02 0.04 0.03 0.08 0.01 0.02 0.02 0.07 0.01 0.02 0.04 0.13 0 0.01 0.04 0.13 0 0.01 0.04 0.08 0 0.03 0.04 0.07 0 0.03
PowerTwoLoci Threshold 10 4 0.0005000 0.01 0.1 0 0 0.01 0.09 0 0 0.02 0.08 0 0 0.01 0.09 0 0 0.02 0.09 0 0.01 0.02 0.09 0 0.01 0.04 0.13 0 0.02 0.03 0.14 0 0.02 0.04 0.12 0.01 0.02 0.03 0.11 0.01 0.02
PowerTwoLoci Threshold 10 4 0.0008000 0.02 0.05 0.01 0.01 0.02 0.07 0 0 0.01 0.05 0 0.01 0.01 0.06 0 0 0.01 0.08 0 0.01 0.01 0.09 0 0.01 0.01 0.04 0 0 0.01 0.04 0 0 0.01 0.1 0 0 0.02 0.11 0 0.01
