test model relativeRisk haplotypeLength recFrac CrossValidation_fold5_mTDT_01 CrossValidation_fold5_mTDT_05 CrossValidation_fold5_mTDT_001 CrossValidation_fold5_mTDT_005 CrossValidation_fold5_mTDT_minFreq10.00000_01 CrossValidation_fold5_mTDT_minFreq10.00000_05 CrossValidation_fold5_mTDT_minFreq10.00000_001 CrossValidation_fold5_mTDT_minFreq10.00000_005 CrossValidation_fold5_ScoreTDT_01 CrossValidation_fold5_ScoreTDT_05 CrossValidation_fold5_ScoreTDT_001 CrossValidation_fold5_ScoreTDT_005 CrossValidation_fold5_ScoreTDT_minFreq10.00000_01 CrossValidation_fold5_ScoreTDT_minFreq10.00000_05 CrossValidation_fold5_ScoreTDT_minFreq10.00000_001 CrossValidation_fold5_ScoreTDT_minFreq10.00000_005 CrossValidation_fold5_mTDT1T_01 CrossValidation_fold5_mTDT1T_05 CrossValidation_fold5_mTDT1T_001 CrossValidation_fold5_mTDT1T_005 CrossValidation_fold5_mTDT1T_minFreq10.00000_01 CrossValidation_fold5_mTDT1T_minFreq10.00000_05 CrossValidation_fold5_mTDT1T_minFreq10.00000_001 CrossValidation_fold5_mTDT1T_minFreq10.00000_005 CrossValidation_fold5_mTDT2G_01 CrossValidation_fold5_mTDT2G_05 CrossValidation_fold5_mTDT2G_001 CrossValidation_fold5_mTDT2G_005 CrossValidation_fold5_mTDT2G_minFreq10.00000_01 CrossValidation_fold5_mTDT2G_minFreq10.00000_05 CrossValidation_fold5_mTDT2G_minFreq10.00000_001 CrossValidation_fold5_mTDT2G_minFreq10.00000_005 CrossValidation_fold5_mTDT1_01 CrossValidation_fold5_mTDT1_05 CrossValidation_fold5_mTDT1_001 CrossValidation_fold5_mTDT1_005 CrossValidation_fold5_mTDT1_minFreq10.00000_01 CrossValidation_fold5_mTDT1_minFreq10.00000_05 CrossValidation_fold5_mTDT1_minFreq10.00000_001 CrossValidation_fold5_mTDT1_minFreq10.00000_005 
PowerOneLocus Additive 10 10 0.0000000 0.44 0.55 0.32 0.37 0.93 0.95 0.83 0.87 0.34 0.48 0.27 0.32 0.9 0.96 0.83 0.85 0.4 0.52 0.29 0.37 0.67 0.75 0.61 0.67 0.5 0.65 0.38 0.47 0.83 0.88 0.76 0.81 0.43 0.55 0.29 0.4 0.71 0.82 0.64 0.69
PowerOneLocus Additive 10 10 0.0000500 0.06 0.16 0.04 0.06 0.61 0.73 0.5 0.53 0.06 0.11 0.02 0.05 0.61 0.7 0.5 0.54 0.09 0.17 0.03 0.06 0.31 0.38 0.26 0.3 0.09 0.2 0.03 0.08 0.35 0.49 0.27 0.33 0.09 0.17 0.03 0.06 0.29 0.39 0.22 0.27
PowerOneLocus Additive 10 10 0.0001000 0.01 0.06 0 0 0.39 0.58 0.28 0.34 0 0.02 0 0 0.41 0.57 0.29 0.35 0.02 0.04 0 0.01 0.11 0.2 0.09 0.1 0.05 0.08 0.01 0.02 0.19 0.3 0.11 0.16 0.01 0.04 0 0.01 0.13 0.25 0.09 0.12
PowerOneLocus Additive 10 10 0.0001500 0 0 0 0 0.23 0.35 0.15 0.18 0 0 0 0 0.24 0.37 0.15 0.2 0 0.01 0 0 0.06 0.1 0.04 0.04 0 0.02 0 0 0.08 0.14 0.03 0.07 0 0.02 0 0 0.04 0.11 0.02 0.04
PowerOneLocus DomOrDom 2 10 0.0000000 0.08 0.21 0.04 0.07 0.5 0.61 0.41 0.46 0.07 0.13 0.01 0.04 0.47 0.6 0.41 0.45 0.12 0.18 0.07 0.09 0.39 0.47 0.32 0.35 0.16 0.25 0.08 0.14 0.43 0.45 0.32 0.4 0.12 0.18 0.07 0.09 0.34 0.39 0.24 0.29
PowerOneLocus DomOrDom 2 10 0.0000500 0 0.01 0 0 0.25 0.33 0.21 0.25 0 0.01 0 0 0.24 0.34 0.17 0.23 0.01 0.03 0 0.01 0.14 0.17 0.12 0.14 0.01 0.04 0 0 0.12 0.19 0.08 0.1 0.01 0.03 0 0.01 0.1 0.14 0.04 0.08
PowerOneLocus DomOrDom 2 10 0.0001000 0 0 0 0 0.14 0.22 0.08 0.12 0 0 0 0 0.15 0.22 0.09 0.12 0 0.01 0 0 0.03 0.04 0.02 0.03 0 0 0 0 0.02 0.07 0.01 0.01 0 0.01 0 0 0.03 0.03 0 0.03
PowerOneLocus DomOrDom 2 10 0.0001500 0 0 0 0 0.04 0.12 0 0.03 0 0 0 0 0.05 0.14 0 0.03 0 0 0 0 0.01 0.04 0.01 0.01 0 0 0 0 0.01 0.03 0 0.01 0 0 0 0 0.01 0.01 0.01 0.01
PowerOneLocus DomOrDom 4 10 0.0000000 0.22 0.35 0.13 0.17 0.76 0.79 0.64 0.73 0.14 0.27 0.06 0.14 0.73 0.78 0.62 0.7 0.23 0.4 0.1 0.19 0.59 0.67 0.53 0.55 0.35 0.46 0.2 0.29 0.6 0.69 0.52 0.58 0.23 0.41 0.1 0.19 0.57 0.63 0.5 0.56
PowerOneLocus DomOrDom 4 10 0.0000500 0.01 0.06 0 0.01 0.42 0.56 0.3 0.42 0 0.04 0 0 0.41 0.53 0.29 0.41 0.04 0.08 0.01 0.02 0.19 0.24 0.16 0.19 0.05 0.06 0 0.03 0.23 0.31 0.14 0.19 0.04 0.08 0.01 0.02 0.15 0.2 0.11 0.14
PowerOneLocus DomOrDom 4 10 0.0001000 0 0.02 0 0 0.28 0.35 0.15 0.24 0 0.01 0 0 0.28 0.36 0.17 0.25 0.01 0.03 0 0.01 0.09 0.11 0.06 0.08 0 0.02 0 0 0.1 0.17 0.06 0.08 0.01 0.02 0 0.01 0.07 0.11 0.03 0.07
PowerOneLocus DomOrDom 4 10 0.0001500 0 0 0 0 0.13 0.24 0.07 0.11 0 0 0 0 0.14 0.24 0.08 0.09 0 0 0 0 0.02 0.04 0.01 0.02 0 0 0 0 0.05 0.08 0.02 0.02 0 0 0 0 0.02 0.04 0.01 0.02
PowerOneLocus DomOrDom 6 10 0.0000000 0.29 0.42 0.21 0.28 0.8 0.87 0.75 0.78 0.27 0.34 0.12 0.23 0.78 0.86 0.72 0.78 0.32 0.4 0.18 0.24 0.66 0.71 0.55 0.62 0.43 0.5 0.33 0.39 0.73 0.79 0.61 0.72 0.32 0.42 0.18 0.23 0.64 0.72 0.53 0.62
PowerOneLocus DomOrDom 6 10 0.0000500 0.04 0.07 0.02 0.03 0.47 0.64 0.39 0.44 0.03 0.05 0 0.01 0.46 0.63 0.36 0.45 0.06 0.11 0.02 0.04 0.19 0.31 0.16 0.18 0.06 0.12 0.03 0.05 0.32 0.39 0.19 0.28 0.06 0.11 0.02 0.04 0.23 0.29 0.17 0.21
PowerOneLocus DomOrDom 6 10 0.0001000 0 0.03 0 0 0.34 0.42 0.21 0.31 0 0.02 0 0 0.34 0.45 0.19 0.3 0.01 0.03 0 0.01 0.09 0.16 0.05 0.09 0.02 0.04 0.01 0.02 0.13 0.23 0.08 0.11 0.01 0.03 0 0.01 0.09 0.17 0.06 0.09
PowerOneLocus DomOrDom 6 10 0.0001500 0 0 0 0 0.13 0.22 0.1 0.13 0 0 0 0 0.14 0.24 0.11 0.13 0 0.01 0 0 0.06 0.07 0.03 0.05 0 0.01 0 0 0.08 0.1 0.04 0.05 0 0.01 0 0 0.07 0.08 0.03 0.07
PowerOneLocus DomOrDom 8 10 0.0000000 0.37 0.45 0.26 0.35 0.85 0.91 0.78 0.83 0.31 0.4 0.18 0.28 0.83 0.89 0.77 0.82 0.32 0.46 0.19 0.28 0.65 0.73 0.56 0.61 0.47 0.56 0.34 0.42 0.76 0.8 0.7 0.75 0.33 0.45 0.2 0.28 0.63 0.75 0.52 0.59
PowerOneLocus DomOrDom 8 10 0.0000500 0.05 0.13 0 0.02 0.52 0.66 0.44 0.49 0.02 0.09 0 0 0.51 0.68 0.42 0.5 0.07 0.14 0.02 0.06 0.25 0.36 0.18 0.24 0.08 0.15 0.03 0.07 0.32 0.42 0.21 0.28 0.07 0.14 0.02 0.06 0.25 0.36 0.19 0.23
PowerOneLocus DomOrDom 8 10 0.0001000 0.02 0.02 0 0 0.36 0.46 0.25 0.32 0 0.02 0 0 0.37 0.49 0.26 0.33 0.02 0.03 0 0.01 0.13 0.16 0.05 0.08 0.03 0.05 0 0.03 0.19 0.28 0.11 0.16 0.02 0.03 0 0.01 0.13 0.22 0.06 0.1
PowerOneLocus DomOrDom 8 10 0.0001500 0 0 0 0 0.19 0.26 0.11 0.14 0 0 0 0 0.2 0.28 0.11 0.13 0 0.01 0 0 0.05 0.07 0.04 0.04 0 0 0 0 0.06 0.13 0.02 0.05 0 0.01 0 0 0.03 0.05 0.02 0.03
PowerOneLocus DomOrDom 10 10 0.0000000 0.37 0.46 0.3 0.34 0.86 0.93 0.8 0.85 0.34 0.41 0.2 0.28 0.85 0.91 0.81 0.83 0.36 0.46 0.23 0.31 0.68 0.76 0.58 0.65 0.47 0.63 0.37 0.43 0.76 0.86 0.71 0.76 0.36 0.48 0.23 0.31 0.67 0.76 0.6 0.64
PowerOneLocus DomOrDom 10 10 0.0000500 0.07 0.12 0.03 0.05 0.57 0.7 0.44 0.5 0.06 0.1 0 0.04 0.57 0.7 0.44 0.53 0.07 0.16 0.03 0.06 0.27 0.34 0.2 0.25 0.08 0.19 0.05 0.08 0.36 0.51 0.28 0.34 0.07 0.16 0.03 0.06 0.28 0.37 0.19 0.25
PowerOneLocus DomOrDom 10 10 0.0001000 0 0.04 0 0 0.37 0.45 0.27 0.34 0 0.01 0 0 0.38 0.47 0.3 0.34 0.02 0.04 0.01 0.01 0.13 0.19 0.08 0.12 0.02 0.07 0 0.02 0.21 0.28 0.1 0.19 0.02 0.04 0.01 0.01 0.12 0.22 0.09 0.12
PowerOneLocus DomOrDom 10 10 0.0001500 0 0 0 0 0.2 0.3 0.12 0.17 0 0 0 0 0.2 0.32 0.14 0.19 0 0.01 0 0 0.06 0.1 0.03 0.04 0 0.01 0 0 0.08 0.11 0.05 0.08 0 0 0 0 0.05 0.08 0.02 0.05
PowerOneLocus RecOrRec 2 10 0.0000000 0.04 0.1 0.02 0.02 0.42 0.52 0.37 0.41 0.02 0.05 0 0.02 0.42 0.49 0.36 0.42 0.07 0.12 0.03 0.06 0.3 0.37 0.25 0.29 0.1 0.13 0.04 0.1 0.29 0.42 0.23 0.27 0.07 0.12 0.03 0.06 0.24 0.31 0.17 0.23
PowerOneLocus RecOrRec 2 10 0.0000500 0 0 0 0 0.18 0.26 0.14 0.15 0 0 0 0 0.2 0.27 0.13 0.16 0 0 0 0 0.05 0.12 0.05 0.05 0 0.01 0 0 0.04 0.09 0.02 0.02 0 0 0 0 0.04 0.08 0.01 0.01
PowerOneLocus RecOrRec 2 10 0.0001000 0 0 0 0 0.07 0.14 0.03 0.03 0 0 0 0 0.07 0.15 0.02 0.04 0 0 0 0 0.02 0.05 0.02 0.02 0 0 0 0 0.03 0.03 0 0.01 0 0 0 0 0.01 0.02 0.01 0.01
PowerOneLocus RecOrRec 2 10 0.0001500 0 0 0 0 0.03 0.06 0 0.02 0 0 0 0 0.03 0.06 0 0.02 0 0 0 0 0.04 0.04 0.01 0.03 0 0 0 0 0 0.02 0 0 0 0 0 0 0.01 0.01 0.01 0.01
PowerOneLocus RecOrRec 4 10 0.0000000 0.15 0.28 0.07 0.12 0.67 0.74 0.59 0.63 0.11 0.23 0.05 0.07 0.66 0.72 0.55 0.61 0.16 0.3 0.11 0.15 0.51 0.59 0.46 0.49 0.29 0.37 0.16 0.25 0.52 0.59 0.42 0.48 0.16 0.31 0.11 0.15 0.47 0.53 0.41 0.45
PowerOneLocus RecOrRec 4 10 0.0000500 0.01 0.04 0 0.01 0.36 0.47 0.25 0.32 0 0.02 0 0 0.36 0.51 0.23 0.32 0.02 0.06 0.01 0.02 0.16 0.21 0.12 0.16 0.02 0.05 0.01 0.02 0.17 0.21 0.1 0.15 0.02 0.06 0.01 0.02 0.13 0.18 0.09 0.12
PowerOneLocus RecOrRec 4 10 0.0001000 0 0 0 0 0.22 0.33 0.1 0.19 0 0 0 0 0.26 0.32 0.1 0.22 0 0 0 0 0.06 0.07 0.03 0.05 0 0.01 0 0 0.07 0.17 0.04 0.05 0 0 0 0 0.05 0.1 0 0.03
PowerOneLocus RecOrRec 4 10 0.0001500 0 0 0 0 0.11 0.17 0.04 0.08 0 0 0 0 0.11 0.2 0.03 0.08 0 0 0 0 0.02 0.05 0.01 0.02 0 0 0 0 0.03 0.07 0.02 0.03 0 0 0 0 0 0.03 0 0
PowerOneLocus RecOrRec 6 10 0.0000000 0.36 0.45 0.23 0.29 0.83 0.87 0.78 0.81 0.27 0.35 0.15 0.24 0.83 0.88 0.76 0.8 0.3 0.42 0.19 0.24 0.65 0.69 0.55 0.61 0.38 0.54 0.31 0.35 0.71 0.8 0.62 0.7 0.3 0.45 0.19 0.26 0.66 0.76 0.52 0.61
PowerOneLocus RecOrRec 6 10 0.0000500 0.05 0.1 0 0.01 0.51 0.64 0.4 0.48 0.01 0.09 0 0 0.54 0.64 0.4 0.48 0.03 0.12 0.01 0.03 0.29 0.38 0.22 0.25 0.07 0.13 0.01 0.05 0.31 0.37 0.24 0.3 0.03 0.12 0.01 0.03 0.25 0.31 0.14 0.2
PowerOneLocus RecOrRec 6 10 0.0001000 0 0.02 0 0 0.36 0.45 0.23 0.29 0 0.02 0 0 0.35 0.48 0.27 0.33 0.01 0.03 0 0.01 0.08 0.13 0.07 0.07 0.02 0.06 0 0.02 0.19 0.24 0.12 0.15 0.01 0.03 0 0.01 0.13 0.19 0.08 0.1
PowerOneLocus RecOrRec 6 10 0.0001500 0 0 0 0 0.18 0.31 0.12 0.17 0 0.01 0 0 0.2 0.29 0.12 0.16 0 0.01 0 0 0.03 0.07 0.03 0.03 0 0.01 0 0 0.05 0.12 0.04 0.04 0 0.01 0 0 0.03 0.05 0.02 0.03
PowerOneLocus RecOrRec 8 10 0.0000000 0.41 0.56 0.32 0.37 0.93 0.96 0.87 0.92 0.36 0.5 0.27 0.31 0.92 0.96 0.88 0.89 0.39 0.52 0.26 0.36 0.72 0.81 0.68 0.71 0.54 0.65 0.41 0.48 0.86 0.89 0.73 0.82 0.4 0.54 0.28 0.37 0.73 0.79 0.68 0.7
PowerOneLocus RecOrRec 8 10 0.0000500 0.09 0.16 0.04 0.07 0.63 0.72 0.5 0.58 0.05 0.13 0.01 0.05 0.63 0.73 0.5 0.58 0.06 0.15 0.03 0.06 0.33 0.43 0.26 0.31 0.1 0.25 0.05 0.08 0.44 0.55 0.34 0.41 0.06 0.14 0.03 0.06 0.33 0.45 0.23 0.3
PowerOneLocus RecOrRec 8 10 0.0001000 0 0.05 0 0 0.43 0.55 0.29 0.38 0 0.04 0 0 0.42 0.55 0.31 0.37 0.03 0.04 0.01 0.01 0.13 0.2 0.1 0.12 0.03 0.09 0.01 0.03 0.23 0.33 0.12 0.18 0.03 0.05 0.01 0.01 0.1 0.16 0.06 0.08
PowerOneLocus RecOrRec 8 10 0.0001500 0 0 0 0 0.22 0.38 0.16 0.18 0 0 0 0 0.25 0.4 0.17 0.2 0 0.01 0 0 0.06 0.1 0.03 0.04 0 0.03 0 0 0.09 0.14 0.05 0.08 0 0.02 0 0 0.02 0.08 0.02 0.02
PowerOneLocus RecOrRec 10 10 0.0000000 0.57 0.64 0.44 0.52 0.96 0.98 0.93 0.96 0.49 0.57 0.33 0.44 0.96 0.99 0.93 0.95 0.48 0.64 0.33 0.41 0.81 0.84 0.75 0.79 0.66 0.78 0.51 0.59 0.9 0.94 0.84 0.9 0.48 0.68 0.35 0.42 0.85 0.89 0.79 0.84
PowerOneLocus RecOrRec 10 10 0.0000500 0.1 0.24 0.06 0.1 0.7 0.84 0.61 0.67 0.08 0.21 0.02 0.08 0.69 0.83 0.6 0.67 0.11 0.21 0.04 0.09 0.38 0.49 0.3 0.36 0.15 0.32 0.09 0.13 0.49 0.65 0.37 0.45 0.11 0.21 0.04 0.09 0.39 0.51 0.28 0.37
PowerOneLocus RecOrRec 10 10 0.0001000 0.02 0.07 0 0.01 0.51 0.67 0.38 0.45 0.01 0.05 0 0.01 0.49 0.68 0.39 0.46 0.03 0.08 0 0.01 0.2 0.28 0.09 0.15 0.05 0.15 0.02 0.03 0.32 0.38 0.2 0.3 0.03 0.08 0 0.01 0.2 0.25 0.11 0.16
PowerOneLocus RecOrRec 10 10 0.0001500 0 0.02 0 0 0.3 0.4 0.18 0.26 0 0.01 0 0 0.32 0.39 0.19 0.27 0.01 0.02 0 0.01 0.08 0.14 0.04 0.07 0.01 0.04 0 0.01 0.08 0.14 0.07 0.07 0.02 0.03 0 0.02 0.04 0.1 0.03 0.03
