MAFSample2 mixProp haplotypeLength Training_mTDT2G_cv5_01 Training_mTDT2G_cv5_05 Training_mTDT2G_cv5_001 Training_mTDT2G_cv5_005 Training_mTDT2G_cv2_01 Training_mTDT2G_cv2_05 Training_mTDT2G_cv2_001 Training_mTDT2G_cv2_005 Training_mTDT2G_cv2_sumOfHalves_01 Training_mTDT2G_cv2_sumOfHalves_05 Training_mTDT2G_cv2_sumOfHalves_001 Training_mTDT2G_cv2_sumOfHalves_005 Training_mTDT1_cv5_01 Training_mTDT1_cv5_05 Training_mTDT1_cv5_001 Training_mTDT1_cv5_005 Training_mTDT1T_cv5_01 Training_mTDT1T_cv5_05 Training_mTDT1T_cv5_001 Training_mTDT1T_cv5_005 Training_mTDT1U_cv5_01 Training_mTDT1U_cv5_05 Training_mTDT1U_cv5_001 Training_mTDT1U_cv5_005 Training_mTDT1_cv2_01 Training_mTDT1_cv2_05 Training_mTDT1_cv2_001 Training_mTDT1_cv2_005 Training_mTDT1T_cv2_01 Training_mTDT1T_cv2_05 Training_mTDT1T_cv2_001 Training_mTDT1T_cv2_005 Training_mTDT1U_cv2_01 Training_mTDT1U_cv2_05 Training_mTDT1U_cv2_001 Training_mTDT1U_cv2_005 Training_mTDT_01 Training_mTDT_05 Training_mTDT_001 Training_mTDT_005 Training_mTDT_minFreq10.00000_01 Training_mTDT_minFreq10.00000_05 Training_mTDT_minFreq10.00000_001 Training_mTDT_minFreq10.00000_005 
0.5 0.75 4 0.006 0.044 0 0.004 0.007 0.054 0.001 0.005 0.023 0.075 0.004 0.013 0.012 0.053 0.002 0.007 0.015 0.056 0.004 0.008 0.015 0.049 0 0.009 0.007 0.046 0 0.004 0.012 0.064 0.002 0.006 0.009 0.049 0.001 0.004 0.015 0.06 0 0.008 0.018 0.057 0 0.009
0.1 0.833 4 0.016 0.061 0 0.008 0.01 0.056 0.002 0.006 0.016 0.071 0.004 0.012 0.01 0.038 0.001 0.008 0.01 0.045 0.002 0.005 0.009 0.047 0.001 0.006 0.008 0.055 0.001 0.006 0.006 0.047 0 0.006 0.01 0.052 0 0.005 0.01 0.06 0.002 0.006 0.011 0.062 0.002 0.009
0.3 0.833 4 0.009 0.051 0.001 0.005 0.011 0.048 0.001 0.009 0.016 0.075 0.002 0.008 0.008 0.066 0.001 0.004 0.006 0.051 0.001 0.003 0.007 0.038 0.001 0.004 0.008 0.06 0.001 0.002 0.013 0.059 0.003 0.006 0.014 0.052 0.003 0.009 0.011 0.062 0.002 0.006 0.011 0.06 0.002 0.008
0.5 0.833 4 0.007 0.04 0 0.004 0.013 0.059 0.003 0.01 0.016 0.061 0.003 0.008 0.012 0.04 0 0.004 0.012 0.061 0 0.009 0.009 0.046 0 0.003 0.008 0.052 0 0.005 0.013 0.053 0.002 0.008 0.012 0.048 0.001 0.007 0.009 0.054 0.001 0.005 0.008 0.058 0.001 0.004
0.1 0.5 6 0.008 0.047 0.001 0.005 0.01 0.054 0.001 0.005 0.019 0.069 0.001 0.009 0.008 0.046 0 0.005 0.013 0.056 0 0.009 0.013 0.046 0.003 0.008 0.014 0.049 0.001 0.006 0.007 0.048 0.002 0.005 0.008 0.041 0.001 0.005 0.007 0.048 0 0.002 0.009 0.058 0 0.002
0.3 0.5 6 0.01 0.048 0.001 0.003 0.011 0.059 0 0.002 0.014 0.083 0.002 0.011 0.014 0.05 0.002 0.008 0.008 0.043 0.002 0.004 0.005 0.05 0 0 0.004 0.046 0 0.002 0.01 0.037 0.001 0.007 0.008 0.042 0.002 0.006 0.008 0.045 0.001 0.004 0.012 0.051 0 0.005
0.5 0.5 6 0.006 0.05 0 0.003 0.009 0.04 0 0.003 0.028 0.09 0.001 0.017 0.009 0.052 0 0.003 0.01 0.052 0.005 0.008 0.011 0.043 0.001 0.004 0.006 0.052 0 0.003 0.014 0.049 0.001 0.007 0.008 0.047 0.003 0.006 0.009 0.044 0 0.003 0.016 0.05 0 0.004
0.1 0.75 6 0.01 0.047 0.001 0.003 0.006 0.052 0 0.002 0.021 0.07 0.003 0.01 0.005 0.044 0 0.002 0.011 0.048 0.001 0.004 0.009 0.042 0.002 0.006 0.008 0.063 0 0.003 0.007 0.041 0 0.002 0.015 0.06 0 0.008 0.012 0.057 0.004 0.007 0.01 0.065 0.004 0.006
0.3 0.75 6 0.01 0.051 0.001 0.007 0.011 0.053 0.002 0.006 0.026 0.079 0.003 0.012 0.008 0.05 0.001 0.005 0.007 0.049 0 0.004 0.011 0.053 0.002 0.004 0.012 0.054 0.001 0.003 0.009 0.051 0 0.004 0.01 0.049 0.002 0.005 0.014 0.058 0.002 0.007 0.014 0.071 0.002 0.008
0.5 0.75 6 0.012 0.05 0.003 0.009 0.015 0.077 0.003 0.008 0.025 0.084 0.005 0.012 0.009 0.049 0 0.005 0.009 0.054 0.001 0.002 0.006 0.059 0 0.002 0.039 0.081 0.01 0.023 0.029 0.09 0.002 0.013 0.013 0.063 0.002 0.01 0.013 0.057 0 0.007 0.014 0.061 0.001 0.011
