MAFSample2 mixProp haplotypeLength Training_mTDT_01 Training_mTDT_05 Training_mTDT_001 Training_mTDT_005 Training_mTDT_minFreq10.00000_01 Training_mTDT_minFreq10.00000_05 Training_mTDT_minFreq10.00000_001 Training_mTDT_minFreq10.00000_005 Training_mTDT2G_cv5_01 Training_mTDT2G_cv5_05 Training_mTDT2G_cv5_001 Training_mTDT2G_cv5_005 Training_mTDT2G_cv5_minFreq10.00000_01 Training_mTDT2G_cv5_minFreq10.00000_05 Training_mTDT2G_cv5_minFreq10.00000_001 Training_mTDT2G_cv5_minFreq10.00000_005 Training_mTDT1_cv5_01 Training_mTDT1_cv5_05 Training_mTDT1_cv5_001 Training_mTDT1_cv5_005 Training_mTDT1_cv5_minFreq10.00000_01 Training_mTDT1_cv5_minFreq10.00000_05 Training_mTDT1_cv5_minFreq10.00000_001 Training_mTDT1_cv5_minFreq10.00000_005 Training_mTDT1T_cv5_01 Training_mTDT1T_cv5_05 Training_mTDT1T_cv5_001 Training_mTDT1T_cv5_005 Training_mTDT1T_cv5_minFreq10.00000_01 Training_mTDT1T_cv5_minFreq10.00000_05 Training_mTDT1T_cv5_minFreq10.00000_001 Training_mTDT1T_cv5_minFreq10.00000_005 Training_mTDT1U_cv5_01 Training_mTDT1U_cv5_05 Training_mTDT1U_cv5_001 Training_mTDT1U_cv5_005 Training_mTDT1U_cv5_minFreq10.00000_01 Training_mTDT1U_cv5_minFreq10.00000_05 Training_mTDT1U_cv5_minFreq10.00000_001 Training_mTDT1U_cv5_minFreq10.00000_005 Training_mTDT2G_cv2_01 Training_mTDT2G_cv2_05 Training_mTDT2G_cv2_001 Training_mTDT2G_cv2_005 Training_mTDT2G_cv2_minFreq10.00000_01 Training_mTDT2G_cv2_minFreq10.00000_05 Training_mTDT2G_cv2_minFreq10.00000_001 Training_mTDT2G_cv2_minFreq10.00000_005 Training_mTDT1_cv2_01 Training_mTDT1_cv2_05 Training_mTDT1_cv2_001 Training_mTDT1_cv2_005 Training_mTDT1_cv2_minFreq10.00000_01 Training_mTDT1_cv2_minFreq10.00000_05 Training_mTDT1_cv2_minFreq10.00000_001 Training_mTDT1_cv2_minFreq10.00000_005 Training_mTDT1T_cv2_01 Training_mTDT1T_cv2_05 Training_mTDT1T_cv2_001 Training_mTDT1T_cv2_005 Training_mTDT1T_cv2_minFreq10.00000_01 Training_mTDT1T_cv2_minFreq10.00000_05 Training_mTDT1T_cv2_minFreq10.00000_001 Training_mTDT1T_cv2_minFreq10.00000_005 Training_mTDT1U_cv2_01 Training_mTDT1U_cv2_05 Training_mTDT1U_cv2_001 Training_mTDT1U_cv2_005 Training_mTDT1U_cv2_minFreq10.00000_01 Training_mTDT1U_cv2_minFreq10.00000_05 Training_mTDT1U_cv2_minFreq10.00000_001 Training_mTDT1U_cv2_minFreq10.00000_005 
0.5 0.5 4 0.012 0.045 0.001 0.007 0.013 0.05 0.002 0.01 0.018 0.063 0.003 0.011 0.058 0.161 0.015 0.037 0.041 0.137 0.004 0.023 0.035 0.136 0.003 0.02 0.045 0.171 0.003 0.024 0.044 0.173 0.003 0.025 0.044 0.173 0.005 0.025 0.035 0.17 0.003 0.021 0.02 0.074 0.002 0.011 0.044 0.126 0.006 0.024 0.023 0.069 0.002 0.009 0.018 0.061 0.002 0.007 0.028 0.108 0.003 0.018 0.027 0.105 0.003 0.017 0.024 0.104 0.001 0.009 0.022 0.099 0 0.01
0.1 0.75 4 0.016 0.059 0.003 0.005 0.016 0.058 0.003 0.005 0.018 0.059 0.003 0.009 0.061 0.163 0.013 0.041 0.057 0.15 0.007 0.031 0.053 0.145 0.006 0.028 0.055 0.18 0.006 0.028 0.053 0.18 0.006 0.027 0.039 0.161 0.003 0.022 0.036 0.164 0.003 0.02 0.019 0.068 0.003 0.011 0.037 0.109 0.007 0.02 0.027 0.059 0.002 0.016 0.025 0.062 0.002 0.014 0.038 0.111 0.003 0.019 0.034 0.114 0.003 0.017 0.025 0.092 0.002 0.014 0.021 0.1 0.002 0.01
0.3 0.75 4 0.015 0.059 0.002 0.007 0.017 0.062 0.002 0.008 0.02 0.063 0.004 0.011 0.063 0.158 0.015 0.04 0.056 0.156 0.005 0.029 0.05 0.151 0.004 0.027 0.053 0.174 0.005 0.027 0.05 0.178 0.005 0.028 0.041 0.159 0.003 0.02 0.036 0.156 0.003 0.018 0.022 0.08 0.004 0.015 0.037 0.111 0.005 0.02 0.022 0.055 0.002 0.014 0.022 0.059 0.002 0.011 0.035 0.107 0.003 0.017 0.035 0.108 0.003 0.018 0.018 0.093 0.002 0.011 0.016 0.096 0.002 0.009
0.5 0.75 4 0.015 0.06 0 0.008 0.018 0.057 0 0.009 0.012 0.058 0.002 0.009 0.057 0.161 0.011 0.038 0.054 0.152 0.006 0.031 0.052 0.147 0.006 0.031 0.059 0.184 0.007 0.037 0.057 0.173 0.006 0.038 0.046 0.149 0.006 0.023 0.043 0.134 0.006 0.021 0.017 0.069 0.003 0.013 0.033 0.135 0.005 0.015 0.021 0.047 0.005 0.014 0.02 0.056 0.005 0.015 0.037 0.101 0.003 0.022 0.033 0.102 0.003 0.02 0.029 0.091 0.004 0.019 0.027 0.082 0.005 0.018
0.1 0.833 4 0.01 0.06 0.002 0.006 0.011 0.062 0.002 0.009 0.013 0.065 0.001 0.006 0.059 0.175 0.013 0.032 0.052 0.153 0.006 0.028 0.046 0.148 0.005 0.024 0.053 0.181 0.006 0.028 0.05 0.188 0.006 0.026 0.037 0.155 0.004 0.02 0.041 0.156 0.004 0.02 0.018 0.06 0.003 0.007 0.028 0.114 0.004 0.011 0.023 0.068 0.003 0.014 0.018 0.067 0.003 0.01 0.032 0.118 0.003 0.02 0.028 0.119 0.004 0.016 0.019 0.095 0.002 0.012 0.018 0.096 0.002 0.01
0.3 0.833 4 0.011 0.062 0.002 0.006 0.011 0.06 0.002 0.008 0.014 0.057 0.002 0.004 0.057 0.179 0.014 0.031 0.053 0.161 0.006 0.03 0.049 0.159 0.006 0.028 0.056 0.175 0.006 0.029 0.052 0.177 0.007 0.029 0.041 0.161 0.006 0.021 0.04 0.162 0.006 0.023 0.017 0.065 0.001 0.01 0.03 0.122 0.003 0.014 0.025 0.071 0.003 0.016 0.022 0.066 0.003 0.013 0.035 0.109 0.003 0.019 0.034 0.107 0.004 0.018 0.02 0.102 0.004 0.013 0.022 0.099 0.004 0.013
0.5 0.833 4 0.009 0.054 0.001 0.005 0.008 0.058 0.001 0.004 0.012 0.051 0 0.007 0.057 0.157 0.009 0.032 0.054 0.163 0.005 0.031 0.049 0.154 0.004 0.027 0.043 0.186 0.004 0.023 0.047 0.18 0.005 0.022 0.053 0.159 0.005 0.032 0.051 0.151 0.006 0.032 0.014 0.058 0.003 0.011 0.029 0.113 0.004 0.013 0.026 0.061 0.003 0.019 0.022 0.061 0.003 0.014 0.024 0.108 0.002 0.013 0.023 0.098 0.001 0.012 0.028 0.086 0.001 0.02 0.024 0.094 0.002 0.015
0.1 0.5 6 0.007 0.048 0 0.002 0.009 0.058 0 0.002 0.012 0.057 0.001 0.008 0.052 0.159 0.011 0.032 0.055 0.17 0.006 0.032 0.047 0.153 0.005 0.027 0.056 0.191 0.004 0.03 0.052 0.194 0.006 0.034 0.041 0.173 0.004 0.02 0.041 0.158 0.005 0.02 0.015 0.067 0.001 0.005 0.023 0.115 0.002 0.013 0.028 0.067 0.004 0.013 0.027 0.071 0.005 0.015 0.036 0.114 0.002 0.021 0.031 0.106 0.003 0.021 0.026 0.1 0.005 0.015 0.028 0.114 0.006 0.017
0.3 0.5 6 0.008 0.045 0.001 0.004 0.012 0.051 0 0.005 0.019 0.067 0.005 0.011 0.051 0.171 0.012 0.035 0.053 0.188 0.007 0.034 0.047 0.161 0.007 0.032 0.055 0.196 0.005 0.029 0.051 0.189 0.004 0.032 0.04 0.182 0.004 0.022 0.039 0.174 0.004 0.018 0.014 0.061 0.003 0.007 0.023 0.134 0.004 0.013 0.027 0.076 0.004 0.016 0.027 0.077 0.005 0.016 0.032 0.117 0.003 0.018 0.027 0.115 0.003 0.016 0.029 0.1 0.004 0.017 0.03 0.109 0.005 0.018
0.5 0.5 6 0.009 0.044 0 0.003 0.016 0.05 0 0.004 0.017 0.066 0.001 0.008 0.055 0.161 0.015 0.042 0.057 0.149 0.008 0.036 0.052 0.143 0.007 0.032 0.062 0.179 0.004 0.034 0.054 0.18 0.006 0.031 0.049 0.175 0.006 0.029 0.047 0.158 0.004 0.029 0.021 0.067 0.001 0.009 0.037 0.146 0.008 0.025 0.028 0.067 0.008 0.021 0.029 0.074 0.008 0.019 0.039 0.1 0.004 0.024 0.035 0.099 0.004 0.019 0.024 0.086 0.005 0.016 0.024 0.091 0.005 0.017
